["10c00a93c3e4645d418809313928ab69","2021-05-14 00:07:04"]
["5f97d3abe5667a60dfb9be5fc3e7d9f9","2021-05-14 00:39:03"]
["a4cae3195bc647f5c80938197c41fc62","2021-05-14 01:03:48"]
["e4f11c91a276d3115e556c9ebff7b62c","2021-05-14 03:08:49"]
["12905a0151526400782e91dd6e5bdf95","2021-05-14 03:58:34"]
["80e9fa48e45c66dbf0767a17baf30bf6","2021-05-14 05:34:30"]
["e4f11c91a276d3115e556c9ebff7b62c","2021-05-14 06:14:04"]
["2226fde5e4dec5ed21c579b0a28fa322","2021-05-14 07:42:01"]
["31dd2f465e7de1e46a1964223a544207","2021-05-14 08:19:42"]
["bf48718fbad79ae5cc27de8b7d669610","2021-05-14 10:53:19"]
["76b7ede0baf02404168d63da63158af8","2021-05-14 13:44:14"]
["e4f11c91a276d3115e556c9ebff7b62c","2021-05-14 16:39:46"]
["e4f11c91a276d3115e556c9ebff7b62c","2021-05-14 16:48:08"]
["d549c7ad123fc0a9ca4752fc024417b8","2021-05-14 18:13:02"]
["7beda215f7f7ee26bd5a1783eea0ba75","2021-05-14 18:26:13"]
["ee808956fa59718d2fdcf4f7a2f71a7b","2021-05-14 20:08:53"]
["53b52b58589a3c9c70b420c3db18c2a3","2021-05-14 22:59:19"]
["12905a0151526400782e91dd6e5bdf95","2021-05-14 23:50:59"]
