["9692352b63cdccc5079b377d694734c4","2021-06-18 00:46:29"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:46:32"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:46:41"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:46:49"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:46:58"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:47:08"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:47:18"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:47:25"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:47:33"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:47:45"]
["c20d1c569323a7851fda0872bb377a88","2021-06-18 00:48:10"]
["8dcb5c31cbcc93112da38ed2e44f261f","2021-06-18 01:42:38"]
["6799bafe5536fec6ebc2857a82e88e96","2021-06-18 01:42:56"]
["486868b44ece83aaac61664eebb66c35","2021-06-18 02:46:48"]
["d5de82cec4fcd69600c5a1eaf61a3e3f","2021-06-18 03:23:24"]
["31dd2f465e7de1e46a1964223a544207","2021-06-18 03:51:15"]
["16de259f89b074372a25965b26074406","2021-06-18 03:53:35"]
["6587b31d25cfbb2e51ba3f650eb251a6","2021-06-18 04:42:54"]
["14b7a8e3f38fa62b480e9caf5aad6ecc","2021-06-18 07:44:27"]
["d680a90170b1265b65aba45416f2dfa4","2021-06-18 07:53:35"]
["4b7066859d9d0608691d127916fd7499","2021-06-18 08:42:12"]
["5b87aa93d46c15d633c011b15d119804","2021-06-18 09:13:07"]
["5b87aa93d46c15d633c011b15d119804","2021-06-18 09:13:23"]
["5b87aa93d46c15d633c011b15d119804","2021-06-18 09:13:43"]
["644116954553ea85e20b745247ed7527","2021-06-18 09:37:24"]
["2ce5bcf16ea0867a940b1a848916560f","2021-06-18 10:00:38"]
["31dd2f465e7de1e46a1964223a544207","2021-06-18 11:10:03"]
["56d03364c8f8930c608fdbb796a359eb","2021-06-18 11:21:53"]
["4d996bbfdf5970c71a1e6ffb7415c0c7","2021-06-18 11:46:16"]
["4d996bbfdf5970c71a1e6ffb7415c0c7","2021-06-18 12:26:48"]
["976962cdcda8c19b05295f32ec043842","2021-06-18 15:23:25"]
["976962cdcda8c19b05295f32ec043842","2021-06-18 15:23:28"]
["976962cdcda8c19b05295f32ec043842","2021-06-18 15:23:35"]
["3c329ea421883b5194aafc20048e8f87","2021-06-18 17:00:56"]
["56d03364c8f8930c608fdbb796a359eb","2021-06-18 17:48:46"]
["43948ebc00bff7d3414b832dc9f9e56e","2021-06-18 18:17:54"]
["80e9fa48e45c66dbf0767a17baf30bf6","2021-06-18 18:31:14"]
["2226fde5e4dec5ed21c579b0a28fa322","2021-06-18 18:31:55"]
["f8e458a3d678868d4cfd057fc5f0ac4a","2021-06-18 19:23:19"]
["3945fbaccb7401d3dd3e0954447bb588","2021-06-18 19:29:30"]
["8737ed989470f9c3a5d3f768e5027f0a","2021-06-18 20:08:16"]
["94aafa233824b3898982d3bbf06840b7","2021-06-18 22:54:14"]
["94aafa233824b3898982d3bbf06840b7","2021-06-18 22:54:14"]
