["a02a96c95ad17fc8522bccc09b06fffa","2021-07-06 00:02:02"]
["44acf32a71d7452803d2c7165a8cf5b7","2021-07-06 00:04:54"]
["44acf32a71d7452803d2c7165a8cf5b7","2021-07-06 00:04:59"]
["b4884cfc09211dd461ed21a5df2f4fc6","2021-07-06 00:20:35"]
["2161ed9224d1dddc9473db2f67a3e622","2021-07-06 02:33:22"]
["2161ed9224d1dddc9473db2f67a3e622","2021-07-06 03:45:01"]
["3704847522aa48878a3da4b90b3e30b5","2021-07-06 03:57:16"]
["f64a08a6ce4e1f8b68a7b5932049487e","2021-07-06 04:21:10"]
["2d67cd08bd590ade27093b8f6ec033e3","2021-07-06 07:23:42"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:47"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:47"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:47"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:47"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:47"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:47"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:47"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["b13f5e8482335192dd066a7d60569438","2021-07-06 11:25:48"]
["2161ed9224d1dddc9473db2f67a3e622","2021-07-06 12:47:19"]
["ab325fa728a7a143fab532820c43e1b2","2021-07-06 15:22:29"]
["ab325fa728a7a143fab532820c43e1b2","2021-07-06 15:22:30"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:09"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:09"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:09"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:09"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:10"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:10"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:10"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:10"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:10"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:10"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:11"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:11"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:11"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:11"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:11"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:11"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:12"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:12"]
["c9f5e16bfb6ab2a740f02f0268f8ab94","2021-07-06 15:45:12"]
["5fd3fa86083e14d7e19d64160d280d67","2021-07-06 16:24:33"]
["2d67cd08bd590ade27093b8f6ec033e3","2021-07-06 16:39:41"]
["b7f19263f03a52ac8559986b3aae9bd5","2021-07-06 17:54:17"]
["b7f19263f03a52ac8559986b3aae9bd5","2021-07-06 17:54:20"]
["b7f19263f03a52ac8559986b3aae9bd5","2021-07-06 17:54:26"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:14"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:15"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:15"]
["542c88b40b93a82b40c807750b2fad64","2021-07-06 18:38:15"]
