["1db0e1f7cb68688181fe05e1e6b471d7","2021-07-14 02:01:19"]
["1dbe03ac4b4a211f3650bba8c9e17dd4","2021-07-14 02:01:21"]
["f8c1ced1efe0c3b7ac6b6b58844a037d","2021-07-14 02:22:31"]
["2d67cd08bd590ade27093b8f6ec033e3","2021-07-14 02:27:42"]
["a40e3f78ecc24e6554c6a8cbfb9cdff3","2021-07-14 02:41:24"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:51"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:51"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:51"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:51"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:51"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:52"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:52"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:52"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:52"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:52"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:52"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:53"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:53"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:53"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:53"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:53"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:53"]
["597bf4d3943b2a0932fbbb2a8ec0fddd","2021-07-14 07:18:54"]
["3b46413cda1f73169fd727ac2cb564d4","2021-07-14 10:08:43"]
["b4884cfc09211dd461ed21a5df2f4fc6","2021-07-14 11:08:04"]
["a40e3f78ecc24e6554c6a8cbfb9cdff3","2021-07-14 12:29:33"]
["2d67cd08bd590ade27093b8f6ec033e3","2021-07-14 16:02:06"]
["8e6215d8d0751ce80ee4d05bb992f95f","2021-07-14 16:09:16"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:42"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:42"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:42"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:43"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:43"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:43"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:43"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:44"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:44"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:44"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:44"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:45"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:45"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:45"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:45"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:46"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:46"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:46"]
["68fe00bc017255cd7d2163d0f1a289d4","2021-07-14 16:47:46"]
["47e3864077e54f6bd296b3e9b9671025","2021-07-14 19:32:15"]
["fb9c4d9c14c716e811e5784f2d6e90d4","2021-07-14 19:35:56"]
["f9d2084401cabdf2365d487b852ee6b8","2021-07-14 19:36:14"]
["6d46c409779025ab8b5c4902407fcd5c","2021-07-14 20:14:09"]
["a40e3f78ecc24e6554c6a8cbfb9cdff3","2021-07-14 21:47:07"]
["5414da99e88f6c2c54251576b4863ddd","2021-07-14 21:57:49"]
["f14b14e0312dc2da8a622f68ee15ea6b","2021-07-14 22:05:24"]
["a67287ecffec69119d1c2f81bb9850fa","2021-07-14 22:05:27"]
["caddece06d06e6cd842da0b3da9fb9ed","2021-07-14 22:47:45"]
["20d683c96515364911c298b1b0dd2c3e","2021-07-14 23:40:44"]
