["5ab8fa5cd29cd4cfdb3ede988d4da38f","2021-09-04 00:14:47"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-04 00:28:34"]
["45634331410e0b74d448802b56df8ca8","2021-09-04 02:08:42"]
["f7f347eb2da100b188ec3d3192b18866","2021-09-04 04:43:52"]
["6987bac7424cba997d9eca05013e405e","2021-09-04 06:54:19"]
["45634331410e0b74d448802b56df8ca8","2021-09-04 08:42:12"]
["32a8c5c40f17681f7bd910023f6805c0","2021-09-04 09:04:07"]
["f7f347eb2da100b188ec3d3192b18866","2021-09-04 10:25:41"]
["9fef2c1580050dbbab55a523dcb8f344","2021-09-04 10:47:09"]
["8ff737991d8d4941971250ea909ab08b","2021-09-04 10:55:51"]
["0e4a182de013ff92e20767a5aa5f71ed","2021-09-04 12:59:48"]
["f7f347eb2da100b188ec3d3192b18866","2021-09-04 13:28:00"]
["186ee838eda77c6535b7f96619df8930","2021-09-04 14:51:45"]
["8d7646999aa6e466e908dca255f3fb88","2021-09-04 15:15:53"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-04 15:34:13"]
["6987bac7424cba997d9eca05013e405e","2021-09-04 16:41:47"]
["a565449e70a778700044f75188a2f2ac","2021-09-04 18:51:19"]
["48daec18add27209265466b3a5c829a3","2021-09-04 19:10:04"]
["185730396895bb0914b20f37f0aaa01f","2021-09-04 19:10:08"]
["57aae041fedeb7344cf6f522c44962b7","2021-09-04 19:10:08"]
["9640fdc3cdb8483e210e14d4d52bcd15","2021-09-04 19:10:29"]
["9640fdc3cdb8483e210e14d4d52bcd15","2021-09-04 19:10:32"]
["7996584a683efc2e332b80e5227c095a","2021-09-04 19:26:11"]
["85c55a4b993b3ce1738af209a8997e9b","2021-09-04 19:27:12"]
["805be5815a312c965615e2afb09c3c2f","2021-09-04 19:27:17"]
["8404dda2b9c995f9e52b8f2f47450bc9","2021-09-04 19:28:08"]
["8404dda2b9c995f9e52b8f2f47450bc9","2021-09-04 19:28:13"]
["c866f454827669ec13633064b6765f7a","2021-09-04 20:47:57"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-04 23:41:50"]
