["32a8c5c40f17681f7bd910023f6805c0","2021-09-09 00:47:43"]
["b8fbaf5b97d67a0b1dacbe5b7d3469b3","2021-09-09 01:04:53"]
["6987bac7424cba997d9eca05013e405e","2021-09-09 01:21:28"]
["964df2bd8400ec564e524fa9b19a8896","2021-09-09 01:39:30"]
["964df2bd8400ec564e524fa9b19a8896","2021-09-09 01:40:41"]
["964df2bd8400ec564e524fa9b19a8896","2021-09-09 01:40:42"]
["f9c06c2bab3b188124eb46e1499f7823","2021-09-09 01:40:42"]
["964df2bd8400ec564e524fa9b19a8896","2021-09-09 01:40:50"]
["cc8342d0a4794c1ad51f6d6a0099c45b","2021-09-09 02:03:06"]
["cc8342d0a4794c1ad51f6d6a0099c45b","2021-09-09 02:03:48"]
["cc8342d0a4794c1ad51f6d6a0099c45b","2021-09-09 02:04:04"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-09 03:11:30"]
["10e2a623f7d742e9bc9c6b56fa7ac65b","2021-09-09 03:36:02"]
["10e2a623f7d742e9bc9c6b56fa7ac65b","2021-09-09 03:36:13"]
["0e4a182de013ff92e20767a5aa5f71ed","2021-09-09 05:16:58"]
["45634331410e0b74d448802b56df8ca8","2021-09-09 05:52:25"]
["0e4a182de013ff92e20767a5aa5f71ed","2021-09-09 06:10:03"]
["8aa4aaa381684cfa8d7666f4f7efdf87","2021-09-09 06:35:34"]
["8aa4aaa381684cfa8d7666f4f7efdf87","2021-09-09 06:35:36"]
["8aa4aaa381684cfa8d7666f4f7efdf87","2021-09-09 06:35:38"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-09 11:05:11"]
["6987bac7424cba997d9eca05013e405e","2021-09-09 11:08:44"]
["6987bac7424cba997d9eca05013e405e","2021-09-09 11:36:56"]
["f7f347eb2da100b188ec3d3192b18866","2021-09-09 11:38:30"]
["a786400ff42d332929923a1607d17625","2021-09-09 11:55:59"]
["5ab8fa5cd29cd4cfdb3ede988d4da38f","2021-09-09 12:12:13"]
["1576de4cc3ea4fd7e560e4a654e41a86","2021-09-09 16:06:41"]
["1576de4cc3ea4fd7e560e4a654e41a86","2021-09-09 16:16:44"]
["0e4a182de013ff92e20767a5aa5f71ed","2021-09-09 16:30:40"]
["5ab8fa5cd29cd4cfdb3ede988d4da38f","2021-09-09 17:59:39"]
["726ebd4551d6ee893ea2cb53ea2733dd","2021-09-09 19:03:51"]
["6b1eb9a486b7f83f35bd5d801e614a28","2021-09-09 19:03:52"]
["726ebd4551d6ee893ea2cb53ea2733dd","2021-09-09 19:04:07"]
["6b1eb9a486b7f83f35bd5d801e614a28","2021-09-09 19:04:10"]
["a9d2c683551736a85072747f030539b7","2021-09-09 19:04:18"]
["ba1d17f92bdfcdd1f411a70e82316bc5","2021-09-09 19:04:28"]
["ba1d17f92bdfcdd1f411a70e82316bc5","2021-09-09 19:04:28"]
["ba1d17f92bdfcdd1f411a70e82316bc5","2021-09-09 19:04:31"]
["ba1d17f92bdfcdd1f411a70e82316bc5","2021-09-09 19:04:31"]
["a9d2c683551736a85072747f030539b7","2021-09-09 19:04:49"]
["e6a867d22c0086e65ce6d0ad3583521a","2021-09-09 20:08:14"]
["6987bac7424cba997d9eca05013e405e","2021-09-09 20:27:48"]
["50af607a8643ef178786a6bda0e01da0","2021-09-09 22:30:39"]
