["5f088845628b63ecce6c90c383527d4f","2021-09-12 00:49:17"]
["ad2403623bab111777ca6a943632c547","2021-09-12 01:25:05"]
["ad2403623bab111777ca6a943632c547","2021-09-12 01:25:14"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:17"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:17"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["e7d5e6e9f4fb85a43fed2380e3a76c7c","2021-09-12 01:59:18"]
["cae6e53213c14069a9d11e6e6d14bcf2","2021-09-12 03:01:38"]
["45f057dc39e4f0c0ddbd2d32d2585751","2021-09-12 03:30:57"]
["45f057dc39e4f0c0ddbd2d32d2585751","2021-09-12 03:30:58"]
["45f057dc39e4f0c0ddbd2d32d2585751","2021-09-12 03:30:58"]
["4037a5247babaf66a76b0ab2a18f5914","2021-09-12 03:56:10"]
["45634331410e0b74d448802b56df8ca8","2021-09-12 04:03:11"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-12 04:18:22"]
["ac81ef0e401eced0f4ea292dca5083b9","2021-09-12 04:51:28"]
["50af607a8643ef178786a6bda0e01da0","2021-09-12 05:41:14"]
["ac81ef0e401eced0f4ea292dca5083b9","2021-09-12 06:29:35"]
["688f912170d6809d24c27a0bc15701cf","2021-09-12 06:36:28"]
["688f912170d6809d24c27a0bc15701cf","2021-09-12 06:37:18"]
["688f912170d6809d24c27a0bc15701cf","2021-09-12 06:37:51"]
["6987bac7424cba997d9eca05013e405e","2021-09-12 06:49:33"]
["5ab8fa5cd29cd4cfdb3ede988d4da38f","2021-09-12 07:19:45"]
["50af607a8643ef178786a6bda0e01da0","2021-09-12 08:05:45"]
["f7f347eb2da100b188ec3d3192b18866","2021-09-12 08:44:25"]
["c0c720f3ad9278c7c13d348615f9d28c","2021-09-12 09:08:17"]
["d31e1289961f97ecf9945668e828daf8","2021-09-12 09:12:12"]
["45634331410e0b74d448802b56df8ca8","2021-09-12 09:22:26"]
["c0c720f3ad9278c7c13d348615f9d28c","2021-09-12 09:27:10"]
["c0c720f3ad9278c7c13d348615f9d28c","2021-09-12 09:27:11"]
["cba6c0fc585cfc9b9d344fd2ee1562dc","2021-09-12 09:27:12"]
["ba451ae6a33194ad6d3d42328b13e77e","2021-09-12 09:27:13"]
["9d4319a2316e2898e4657fb499a4df08","2021-09-12 09:27:13"]
["3c9e519e681191fd06e7437c49ac8505","2021-09-12 09:27:14"]
["d31e1289961f97ecf9945668e828daf8","2021-09-12 09:27:14"]
["678a2fddba84d228223a411cf1ea4580","2021-09-12 09:27:19"]
["3019f20b082d32b0829eef4027bae33b","2021-09-12 09:27:21"]
["678a2fddba84d228223a411cf1ea4580","2021-09-12 09:27:21"]
["a5e7a4ab2f5bdbd3276d53f841cc078f","2021-09-12 09:39:45"]
["c0c720f3ad9278c7c13d348615f9d28c","2021-09-12 09:39:48"]
["e42a98fbd3e2174e94938541c479cf14","2021-09-12 09:39:51"]
["a5e7a4ab2f5bdbd3276d53f841cc078f","2021-09-12 09:39:52"]
["3c9e519e681191fd06e7437c49ac8505","2021-09-12 09:39:52"]
