["0f559f23a1d5bcea20b0233af92ef077","2021-09-13 00:14:34"]
["b082748a2d3828f0c5c86c18a1046ce6","2021-09-13 01:10:04"]
["b77d1607205f77c58a0dc1da5b6d0298","2021-09-13 01:21:29"]
["cd1bde96267f4de3e54811bd0e20d3b7","2021-09-13 01:23:45"]
["13996c99a4fa9848668fa9c3dc51bea0","2021-09-13 01:34:21"]
["13996c99a4fa9848668fa9c3dc51bea0","2021-09-13 01:34:23"]
["b77d1607205f77c58a0dc1da5b6d0298","2021-09-13 01:34:23"]
["cccf2b1121a32a90c4b21eeb6ee11feb","2021-09-13 01:34:23"]
["cccf2b1121a32a90c4b21eeb6ee11feb","2021-09-13 01:34:26"]
["897cc6d6c6306d742f2db0608d5ca72c","2021-09-13 01:34:27"]
["b77d1607205f77c58a0dc1da5b6d0298","2021-09-13 01:34:27"]
["e2a95e73a2b338164afb47efa02c68ab","2021-09-13 01:34:29"]
["7ca84ec9cf9877d1a1859205b5c8db99","2021-09-13 01:34:30"]
["7ca84ec9cf9877d1a1859205b5c8db99","2021-09-13 01:34:38"]
["11eb30ada6a0b905ecd022a8e14de28b","2021-09-13 01:42:52"]
["cd1bde96267f4de3e54811bd0e20d3b7","2021-09-13 01:42:52"]
["79eac6cf0b777c449c47b660dd0f97e8","2021-09-13 01:42:53"]
["7ca84ec9cf9877d1a1859205b5c8db99","2021-09-13 01:42:54"]
["a11ac1be9a88b34fbfd585802959a469","2021-09-13 01:42:57"]
["79eac6cf0b777c449c47b660dd0f97e8","2021-09-13 01:42:58"]
["cd1bde96267f4de3e54811bd0e20d3b7","2021-09-13 01:42:59"]
["f780689c6f0c966d43690148733f17f4","2021-09-13 01:42:59"]
["f780689c6f0c966d43690148733f17f4","2021-09-13 01:44:02"]
["7ca84ec9cf9877d1a1859205b5c8db99","2021-09-13 01:44:05"]
["43a00e6504d4edfaf937afdb8daea41f","2021-09-13 01:44:05"]
["7ca84ec9cf9877d1a1859205b5c8db99","2021-09-13 01:44:06"]
["9e26abc63fb966ff9c11ccdacfc31aee","2021-09-13 01:44:09"]
["9e26abc63fb966ff9c11ccdacfc31aee","2021-09-13 01:44:13"]
["f780689c6f0c966d43690148733f17f4","2021-09-13 01:44:13"]
["32a8c5c40f17681f7bd910023f6805c0","2021-09-13 01:44:45"]
["6987bac7424cba997d9eca05013e405e","2021-09-13 01:58:12"]
["72f70aae5d445d6d519e45419432854c","2021-09-13 03:07:11"]
["0bf0beb604265211b89c178770ef790e","2021-09-13 03:24:00"]
["0e4a182de013ff92e20767a5aa5f71ed","2021-09-13 04:25:52"]
["ac81ef0e401eced0f4ea292dca5083b9","2021-09-13 05:25:44"]
["5ab8fa5cd29cd4cfdb3ede988d4da38f","2021-09-13 05:58:44"]
["2541e480ce26cf093cc1defe11812ac7","2021-09-13 10:31:48"]
["6e6fc9087d7cf8700620509ae7bfbc93","2021-09-13 10:41:38"]
["6e6fc9087d7cf8700620509ae7bfbc93","2021-09-13 10:41:46"]
["6987bac7424cba997d9eca05013e405e","2021-09-13 11:48:10"]
["0e4a182de013ff92e20767a5aa5f71ed","2021-09-13 12:30:03"]
["b8fbaf5b97d67a0b1dacbe5b7d3469b3","2021-09-13 18:07:08"]
["2f8a983017ea062cc0e6286654f011b8","2021-09-13 19:24:57"]
["13413e621d0704e9f8528c92bdb981e3","2021-09-13 19:25:52"]
["40852a2939df2ada87a35e64257a899d","2021-09-13 19:30:10"]
["fa16979ea5d75e60bd980fec3fd3362d","2021-09-13 19:31:16"]
["4b568e446aa86fcb79cdc021e097a97e","2021-09-13 19:31:33"]
["4f8a1597a72c475ac597be68bbaad8e8","2021-09-13 20:07:10"]
["677ba593211c97b8d18a83cbe3d3764f","2021-09-13 20:28:45"]
["b8bc42d62a9f85a4907c90fc3b9084c9","2021-09-13 20:30:00"]
["6987bac7424cba997d9eca05013e405e","2021-09-13 21:07:43"]
["0e4a182de013ff92e20767a5aa5f71ed","2021-09-13 22:21:52"]
