["0e4a182de013ff92e20767a5aa5f71ed","2021-09-20 01:03:22"]
["de4a6399185555923c8caa8ab873d360","2021-09-20 01:06:27"]
["4edcef11440ab914954227417124f560","2021-09-20 01:49:36"]
["45634331410e0b74d448802b56df8ca8","2021-09-20 03:21:04"]
["d94d5558c3fe18a79d7707e504c97776","2021-09-20 03:31:38"]
["6054cbecc5d32d223042af03873a447f","2021-09-20 03:32:53"]
["fdeeef2a6a684938d06bc7961aa3a045","2021-09-20 03:32:57"]
["ac81ef0e401eced0f4ea292dca5083b9","2021-09-20 04:25:52"]
["0c689235bf831dcd08b36611daaaa41a","2021-09-20 04:27:40"]
["45634331410e0b74d448802b56df8ca8","2021-09-20 08:18:07"]
["4edcef11440ab914954227417124f560","2021-09-20 08:53:42"]
["6987bac7424cba997d9eca05013e405e","2021-09-20 09:35:26"]
["6c5ccaa8df8fd86cc58203070eb8b94c","2021-09-20 10:03:08"]
["07f9d52901d7a233f029b8dfc85df0fc","2021-09-20 11:02:41"]
["c24d47fceb42050bcfb8810d21c75467","2021-09-20 11:52:42"]
["8186ca8ad3edf5f205a228d5b8206805","2021-09-20 12:20:19"]
["07f9d52901d7a233f029b8dfc85df0fc","2021-09-20 13:50:19"]
["594222541f15f659ce5a6c851ba950fc","2021-09-20 15:08:52"]
["594222541f15f659ce5a6c851ba950fc","2021-09-20 15:08:54"]
["594222541f15f659ce5a6c851ba950fc","2021-09-20 15:08:58"]
["594222541f15f659ce5a6c851ba950fc","2021-09-20 15:09:00"]
["594222541f15f659ce5a6c851ba950fc","2021-09-20 15:09:02"]
["594222541f15f659ce5a6c851ba950fc","2021-09-20 15:09:03"]
["0c04d26ee101a0e59daeeb8f7e2c3058","2021-09-20 15:37:06"]
["6987bac7424cba997d9eca05013e405e","2021-09-20 19:00:31"]
["305144a744689184b4d408b3c9db887c","2021-09-20 19:19:08"]
["0060ed117e3c90d0e3451361e50fd092","2021-09-20 19:19:41"]
["0060ed117e3c90d0e3451361e50fd092","2021-09-20 19:19:42"]
["c57c5c80fcc2addc862be01bdd4a1f4b","2021-09-20 19:50:08"]
["e74d635c08fb41bb122dbb1e0b2f5096","2021-09-20 20:08:14"]
["b8fbaf5b97d67a0b1dacbe5b7d3469b3","2021-09-20 23:23:16"]
