["7312e47cdab7e5dc2fc86f1dd0a17c55","2021-09-27 03:40:49"]
["2636bbfbced86e6d5ce87ad7e66fe386","2021-09-27 03:47:35"]
["2636bbfbced86e6d5ce87ad7e66fe386","2021-09-27 03:47:42"]
["2636bbfbced86e6d5ce87ad7e66fe386","2021-09-27 03:47:49"]
["a786400ff42d332929923a1607d17625","2021-09-27 05:47:55"]
["724d57db6612584864dcb220aacc0009","2021-09-27 05:52:27"]
["7ee84bbd497b377b90eabe9f79c08cdc","2021-09-27 06:41:39"]
["5ab8fa5cd29cd4cfdb3ede988d4da38f","2021-09-27 07:49:00"]
["674899c63d84b28c4c52e9810259d495","2021-09-27 08:19:11"]
["a41ee6ec47730faa06a38fc83f8d528a","2021-09-27 09:37:08"]
["a41ee6ec47730faa06a38fc83f8d528a","2021-09-27 09:37:13"]
["a41ee6ec47730faa06a38fc83f8d528a","2021-09-27 09:37:18"]
["a41ee6ec47730faa06a38fc83f8d528a","2021-09-27 09:37:26"]
["a41ee6ec47730faa06a38fc83f8d528a","2021-09-27 09:37:32"]
["a41ee6ec47730faa06a38fc83f8d528a","2021-09-27 09:37:35"]
["710afb25dd7bf5881fc8af69dba45889","2021-09-27 09:38:48"]
["6c986271af577245376f82f5b13d1e38","2021-09-27 09:41:36"]
["68e34d11de5b070e56b94247adbe5b97","2021-09-27 09:50:55"]
["0bb02099753d1df4a6ad263bc05cbbac","2021-09-27 09:51:16"]
["5f435159efcd79846a3bcced5b1d7633","2021-09-27 09:51:55"]
["7b692a6cf0e159c1399cd334a5d581ec","2021-09-27 09:52:02"]
["2580dbee3722002cfbffe2de7d55592c","2021-09-27 09:52:28"]
["51646cf04cba1c8cb172138a7b445989","2021-09-27 09:52:29"]
["b51e4e6c35bc190698424f852f0e8552","2021-09-27 09:52:34"]
["981d9bc8b92ee8d3363f141a24271874","2021-09-27 10:06:02"]
["1cc114f1cc78f333174ba8c51b9e68a8","2021-09-27 10:06:39"]
["a786400ff42d332929923a1607d17625","2021-09-27 11:06:49"]
["b8fbaf5b97d67a0b1dacbe5b7d3469b3","2021-09-27 11:13:08"]
["9c8a093cda2be0bafdcde5ba315883d0","2021-09-27 12:15:12"]
["c89da36187b6389d3a092307fed689e2","2021-09-27 14:34:00"]
["50af607a8643ef178786a6bda0e01da0","2021-09-27 15:56:04"]
["c5f4250333fefb6d5f6f5850fbb5ce1b","2021-09-27 16:01:39"]
["23abb94a43c340f0d85b9a597c3f3005","2021-09-27 16:07:32"]
["32a8c5c40f17681f7bd910023f6805c0","2021-09-27 17:12:25"]
["5ab8fa5cd29cd4cfdb3ede988d4da38f","2021-09-27 18:13:20"]
["683c2328e193ce62ebcc4cd4ea932545","2021-09-27 18:20:14"]
["6fb2d8cda5469d614473d7b896fe1b64","2021-09-27 19:44:07"]
["2f80febae3bc06f0ffa73a727f86059f","2021-09-27 19:45:00"]
["2f80febae3bc06f0ffa73a727f86059f","2021-09-27 19:45:06"]
["cea5bf189f71fd85c877ca5bce664070","2021-09-27 20:09:31"]
["32a8c5c40f17681f7bd910023f6805c0","2021-09-27 22:20:09"]
["b8fbaf5b97d67a0b1dacbe5b7d3469b3","2021-09-27 22:59:19"]
