["2f6f67e0a9bd14ed7f7750ce5f10bcd1","2021-09-28 00:45:39"]
["831d77024c63aa768254b46946bcf569","2021-09-28 01:50:17"]
["445baa2073e8ef50675aa6106303d5e6","2021-09-28 03:02:32"]
["7975c7feb488941428eeb8827beea9a5","2021-09-28 03:12:51"]
["50af607a8643ef178786a6bda0e01da0","2021-09-28 03:17:27"]
["f6c46dbfa9188c23884279c4221d95e5","2021-09-28 04:54:37"]
["e5e4c7b8cbee3594df7beb3c14d7f774","2021-09-28 05:36:19"]
["f9450bbcbfb7cd38df16524fee7310d4","2021-09-28 08:14:01"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:20:58"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:21:04"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:21:15"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:21:21"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:21:34"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:21:47"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:21:59"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:22:11"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:22:23"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:22:36"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:22:46"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:22:59"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:23:11"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:23:23"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:23:35"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:23:46"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:23:58"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:24:11"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:24:23"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:24:35"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:24:47"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:25:00"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:25:11"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:25:22"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:25:34"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:25:46"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:25:59"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:26:11"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:26:23"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:26:36"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:26:47"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:27:01"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:27:13"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:27:25"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:27:38"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:27:50"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:28:02"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:28:14"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:28:27"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:28:39"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:28:51"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:29:03"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:29:15"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:29:28"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:29:40"]
["a6de3edf72311b0f1ae29e90e998c559","2021-09-28 08:29:51"]
