["b8fbaf5b97d67a0b1dacbe5b7d3469b3","2021-09-30 00:21:59"]
["31f12f5c618e5f031926aa18ac9aa019","2021-09-30 01:09:38"]
["4f91a19ab0f26d32173739a7f1ec3e76","2021-09-30 01:56:54"]
["e5e4c7b8cbee3594df7beb3c14d7f774","2021-09-30 04:24:46"]
["45634331410e0b74d448802b56df8ca8","2021-09-30 04:49:18"]
["32a8c5c40f17681f7bd910023f6805c0","2021-09-30 06:12:09"]
["a786400ff42d332929923a1607d17625","2021-09-30 07:47:43"]
["32a8c5c40f17681f7bd910023f6805c0","2021-09-30 08:05:16"]
["b93b878ff030be78fe00747910f8029d","2021-09-30 12:16:21"]
["b93b878ff030be78fe00747910f8029d","2021-09-30 12:16:27"]
["b93b878ff030be78fe00747910f8029d","2021-09-30 12:16:30"]
["b93b878ff030be78fe00747910f8029d","2021-09-30 12:16:36"]
["b93b878ff030be78fe00747910f8029d","2021-09-30 12:16:41"]
["b93b878ff030be78fe00747910f8029d","2021-09-30 12:16:48"]
["f621d4a73862d56dc2c4277866fb0b74","2021-09-30 13:26:51"]
["e5e4c7b8cbee3594df7beb3c14d7f774","2021-09-30 16:34:22"]
["8ff737991d8d4941971250ea909ab08b","2021-09-30 17:03:50"]
["cec1ab6d6b2f9af92cc73c5bb02c4464","2021-09-30 18:55:47"]
["b7f5e99a490a2383655e1378cfd73221","2021-09-30 18:55:56"]
["b7f5e99a490a2383655e1378cfd73221","2021-09-30 18:56:08"]
["b7f5e99a490a2383655e1378cfd73221","2021-09-30 18:56:17"]
["b7f5e99a490a2383655e1378cfd73221","2021-09-30 18:56:26"]
["b7f5e99a490a2383655e1378cfd73221","2021-09-30 18:56:37"]
["b7f5e99a490a2383655e1378cfd73221","2021-09-30 18:56:46"]
["b7f5e99a490a2383655e1378cfd73221","2021-09-30 18:56:55"]
["8e914ecd4fa0c339e9454daa4041d8f0","2021-09-30 19:39:02"]
["96201ec9e759d283fd32f9f5ebfa7fea","2021-09-30 19:39:03"]
["484b095b652644387f99d8155893c305","2021-09-30 19:39:12"]
["484b095b652644387f99d8155893c305","2021-09-30 19:39:13"]
["93329e452da23b0d5c045b381d77760f","2021-09-30 19:39:25"]
["93329e452da23b0d5c045b381d77760f","2021-09-30 19:39:27"]
["3b4b454003fae97cc355726988a1c73d","2021-09-30 20:08:38"]
["d2e26fcbb0a09885693c6cc71e738108","2021-09-30 21:51:36"]
["ece2a89d6b38d2975af677de214a2cbe","2021-09-30 21:51:36"]
["ece2a89d6b38d2975af677de214a2cbe","2021-09-30 21:51:36"]
["d30b1ec3d61d03a447e0a9b195b7a599","2021-09-30 23:05:23"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-09-30 23:21:27"]
