["94008eb9babe4e1ccaa0074fbac6f1f6","2021-10-04 00:47:43"]
["1e6b53bd4c86fa78b40a3d0e9f1f196d","2021-10-04 03:37:23"]
["52520f2c0c44d5d9994839528af84d89","2021-10-04 04:01:49"]
["8ff737991d8d4941971250ea909ab08b","2021-10-04 04:44:29"]
["f4db7508262b4ec0fd750aed66141737","2021-10-04 05:31:44"]
["e5e4c7b8cbee3594df7beb3c14d7f774","2021-10-04 05:37:06"]
["9336584b585f15bf6a2f03b9637d56d1","2021-10-04 05:37:48"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-10-04 05:51:35"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-10-04 06:05:25"]
["9336584b585f15bf6a2f03b9637d56d1","2021-10-04 06:18:41"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-10-04 06:56:22"]
["66f2612031d1837f5c36c0063e57d9db","2021-10-04 09:12:03"]
["11e8e3c6522e719ed8f118b32478f558","2021-10-04 09:25:23"]
["9336584b585f15bf6a2f03b9637d56d1","2021-10-04 09:31:57"]
["6293306a2def778fffe94d3661491dda","2021-10-04 09:42:38"]
["ef48bf7d9a3270292964ab757c7ee5f0","2021-10-04 09:45:39"]
["66f2612031d1837f5c36c0063e57d9db","2021-10-04 09:59:17"]
["12120415f45f998a5f539b7209bdb479","2021-10-04 10:11:52"]
["82b713d74f8c63090565a8e31fad8fea","2021-10-04 10:11:53"]
["82b713d74f8c63090565a8e31fad8fea","2021-10-04 10:11:53"]
["82b713d74f8c63090565a8e31fad8fea","2021-10-04 10:11:54"]
["82b713d74f8c63090565a8e31fad8fea","2021-10-04 10:11:54"]
["82b713d74f8c63090565a8e31fad8fea","2021-10-04 10:11:55"]
["82b713d74f8c63090565a8e31fad8fea","2021-10-04 10:11:55"]
["82b713d74f8c63090565a8e31fad8fea","2021-10-04 10:11:56"]
["e42408ee0fb637262d53882cb6d24071","2021-10-04 11:07:04"]
["2f6f67e0a9bd14ed7f7750ce5f10bcd1","2021-10-04 12:21:27"]
["2fb67c92776540440f487efc5ba6c736","2021-10-04 12:41:25"]
["e5e4c7b8cbee3594df7beb3c14d7f774","2021-10-04 15:23:14"]
["e6d36766c4fc49d601ef5d890161f314","2021-10-04 17:22:19"]
["406c8d4571f4bb8fe7e1aab4b9b6bd2b","2021-10-04 17:35:38"]
["ff1d73944aa027c6eb1c3045f1b4d40d","2021-10-04 17:54:42"]
["07a6f075410377b7d15bbb05afc02303","2021-10-04 19:55:01"]
["cb4b83679a211f2653894fab33855088","2021-10-04 19:55:14"]
["06809ab0c6952440187b8afbd98bdc94","2021-10-04 19:55:30"]
["c5835d2ba498a7debcbbcc74a163c989","2021-10-04 19:55:34"]
["06809ab0c6952440187b8afbd98bdc94","2021-10-04 19:55:35"]
["c5835d2ba498a7debcbbcc74a163c989","2021-10-04 19:55:36"]
["dc6521ab7710673706b7b8943e3f5ea6","2021-10-04 20:08:52"]
["7b3ba2bd0856747a1527de2f6e01c86f","2021-10-04 20:09:09"]
["8ff737991d8d4941971250ea909ab08b","2021-10-04 20:19:01"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-10-04 21:21:41"]
["9f3d8a5ad42f41b58b24ba7cc443784a","2021-10-04 21:24:51"]
["31ddf69e5749f864aba196e537fcd8d2","2021-10-04 23:32:43"]
