["af8b0fa6a78a74f6be1e785146ac7983","2021-10-12 02:32:44"]
["74666273db6f3478f1fbdcfd0eefd5f7","2021-10-12 02:32:45"]
["ed10e28d178f2a56920fbda9c519a7ae","2021-10-12 02:53:12"]
["b7a3e545753c1949a5a2a020b01f3ead","2021-10-12 02:58:01"]
["71780b577d5752ebeea05e452fe6f128","2021-10-12 04:14:35"]
["81e6268ac1a6cd1051b2c72bbbc7e246","2021-10-12 05:33:24"]
["f082a329a071ca7b556f1c3a3ae3e7e5","2021-10-12 05:45:01"]
["f082a329a071ca7b556f1c3a3ae3e7e5","2021-10-12 05:45:03"]
["d0f3020ec3732be1b94113c731ec25d6","2021-10-12 07:50:20"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-10-12 10:05:38"]
["4636a9d2f96dea228570cf3397e6a628","2021-10-12 11:00:21"]
["4636a9d2f96dea228570cf3397e6a628","2021-10-12 11:01:03"]
["4636a9d2f96dea228570cf3397e6a628","2021-10-12 11:01:05"]
["048025007a17982912932373194364b8","2021-10-12 11:06:17"]
["048025007a17982912932373194364b8","2021-10-12 11:06:18"]
["048025007a17982912932373194364b8","2021-10-12 11:06:18"]
["7d88855a8ae2002d1d2fa4418f9b49c8","2021-10-12 11:55:13"]
["ed156982d94aa3e41628815b9813eecd","2021-10-12 12:21:01"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-12 13:07:08"]
["13f80d4e6b0683ad9b02463eb7c51c59","2021-10-12 14:03:58"]
["de12ba5222809ce07aaecd8fc3afaac2","2021-10-12 16:01:43"]
["b09d71ab14408384d1a518ee28665a29","2021-10-12 16:12:51"]
["7b85e736dfed9bfe27df2fa49f22ae20","2021-10-12 18:23:21"]
["7b85e736dfed9bfe27df2fa49f22ae20","2021-10-12 18:26:52"]
["7b85e736dfed9bfe27df2fa49f22ae20","2021-10-12 18:27:42"]
["7b85e736dfed9bfe27df2fa49f22ae20","2021-10-12 18:28:23"]
["7b85e736dfed9bfe27df2fa49f22ae20","2021-10-12 18:29:14"]
["7b85e736dfed9bfe27df2fa49f22ae20","2021-10-12 18:29:43"]
["1f96ce3f7c335fcecd7f42e52fb544f3","2021-10-12 19:15:57"]
["1a46ee9a8f80d8ff631bdc276c534452","2021-10-12 19:17:20"]
["59a4da45efe12ecbeeab0acfac137688","2021-10-12 19:23:23"]
["d50418c82a26b6bb993cf600aaed36c5","2021-10-12 19:25:41"]
["d50418c82a26b6bb993cf600aaed36c5","2021-10-12 19:25:43"]
["0ce6ee2767e820138b3523abaa97769d","2021-10-12 19:39:56"]
["0ce6ee2767e820138b3523abaa97769d","2021-10-12 19:39:56"]
["7ee66b1e9d45e5159de7cfb855c0d5f1","2021-10-12 19:41:56"]
["0119f6b338a4da0550792840d2ff6ca8","2021-10-12 20:09:34"]
["ba540624acbee6ec74615635ddbe3c2d","2021-10-12 20:15:45"]
["5d0fc908ecfb4ff2d7fb1fc2bb58a7f0","2021-10-12 21:45:36"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-12 22:28:23"]
