["ed7b71477fab8474fb59cecf9ca4b1c6","2021-10-13 00:08:02"]
["d71fd8623f691bd7ea5764941f3fcf16","2021-10-13 00:08:06"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:07"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:09"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:10"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:11"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:12"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:14"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:16"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:17"]
["115bfa80392d5a725977abcd5e8eed9f","2021-10-13 00:08:21"]
["1cc72e2f6a2b4628043052bd00832de9","2021-10-13 00:53:45"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 00:57:36"]
["2a24dda2661feea17e8fd663ddeccf24","2021-10-13 01:03:10"]
["2a24dda2661feea17e8fd663ddeccf24","2021-10-13 01:03:11"]
["2a24dda2661feea17e8fd663ddeccf24","2021-10-13 01:03:13"]
["1cc72e2f6a2b4628043052bd00832de9","2021-10-13 01:03:19"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 01:03:21"]
["da5205211b08843e0e587e2217632ea5","2021-10-13 01:03:23"]
["1cc72e2f6a2b4628043052bd00832de9","2021-10-13 01:03:24"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 01:03:25"]
["1cc72e2f6a2b4628043052bd00832de9","2021-10-13 01:03:26"]
["2a24dda2661feea17e8fd663ddeccf24","2021-10-13 01:03:35"]
["4bd8a3a0a95dd8877ef09cbbf5145b7a","2021-10-13 01:11:24"]
["4bd8a3a0a95dd8877ef09cbbf5145b7a","2021-10-13 01:11:27"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 01:11:28"]
["da5205211b08843e0e587e2217632ea5","2021-10-13 01:11:30"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 01:11:32"]
["da5205211b08843e0e587e2217632ea5","2021-10-13 01:11:33"]
["0bb201ecb707284ee342543321312d94","2021-10-13 01:11:33"]
["da5205211b08843e0e587e2217632ea5","2021-10-13 01:11:34"]
["d5298bf241886503a8c226f22ee092dc","2021-10-13 01:14:52"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 01:14:53"]
["0bb201ecb707284ee342543321312d94","2021-10-13 01:14:54"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 01:14:54"]
["237b54507bbea27db1c56487cbc8e65f","2021-10-13 01:14:59"]
["d5298bf241886503a8c226f22ee092dc","2021-10-13 01:14:59"]
["4bd8a3a0a95dd8877ef09cbbf5145b7a","2021-10-13 01:15:00"]
["ec763691f5e02afbaf15711f674fa7b8","2021-10-13 05:29:29"]
["b51e4e6c35bc190698424f852f0e8552","2021-10-13 06:16:28"]
["869d15610b20a68b0f759503369b7332","2021-10-13 06:58:08"]
["1fbfdb5c204707ace87b8783d4294628","2021-10-13 10:00:30"]
["48dea2331a9aae5370009c6226e38eec","2021-10-13 10:04:14"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-13 11:48:01"]
["e3b014467883bd6244d3e4d95e495da8","2021-10-13 12:36:41"]
["58273e19920e3bf867b82f360a22748b","2021-10-13 12:38:03"]
