["a3761c58756070dfd4a678537d0186ce","2021-10-14 00:08:54"]
["31ddf69e5749f864aba196e537fcd8d2","2021-10-14 00:26:23"]
["167e61ce3dfec07d4c65f954aeefb915","2021-10-14 01:20:00"]
["a9b74a347fa53fceed817cec4dabe1b0","2021-10-14 07:10:34"]
["b071238efdd635431d425b44c8cf3646","2021-10-14 07:27:29"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-14 07:45:50"]
["554fe1e3f841c9638e36ab3397af25da","2021-10-14 09:53:22"]
["da68d767dcea41b362392cb2b306a113","2021-10-14 09:53:47"]
["3bde5e0072d875a3a5fa04b55d4cce33","2021-10-14 10:16:06"]
["3bde5e0072d875a3a5fa04b55d4cce33","2021-10-14 10:31:06"]
["9bb7c4fddcb09fc2d74a99b6ad59a287","2021-10-14 11:00:26"]
["8f902d2daa1d06bc485b128345410e01","2021-10-14 14:32:51"]
["8f902d2daa1d06bc485b128345410e01","2021-10-14 14:33:10"]
["87361f97ed8457069c2d159ee9f5619a","2021-10-14 15:26:09"]
["dc6e746d0dd899494be67d1e37c02864","2021-10-14 16:27:54"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-14 17:34:07"]
["85f32e4ee4e7c665b10c04d2ad0a928a","2021-10-14 19:20:09"]
["cf60f02995f38b7845e47e58894cbe88","2021-10-14 19:20:09"]
["9d2208378c2ce822c25bfd89f1fec28b","2021-10-14 19:20:30"]
["9d2208378c2ce822c25bfd89f1fec28b","2021-10-14 19:20:33"]
["0a09a30216ff15e317992eb82e7e0102","2021-10-14 19:20:42"]
["0a09a30216ff15e317992eb82e7e0102","2021-10-14 19:20:43"]
["0e77ad7002f4c7c60f0fa364c58fd19c","2021-10-14 19:31:50"]
["0e77ad7002f4c7c60f0fa364c58fd19c","2021-10-14 19:31:50"]
