["a265228dd25f7012547ffac108d4cdb0","2021-10-20 00:08:21"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-20 02:31:58"]
["1faa0202513f24729a33da8d18da380c","2021-10-20 04:16:30"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:23"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:24"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:24"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:24"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:24"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:25"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:26"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:26"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:26"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:26"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:27"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:27"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:27"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:27"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:27"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:28"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:28"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:28"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:28"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:28"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:29"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:29"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:29"]
["e7cb0e1080d5fbac08e3f2cac2f06326","2021-10-20 04:31:29"]
["e6750f1caad346082d9d36410abbf268","2021-10-20 04:56:08"]
["62ef9ac77e3d7b8264fd1c762fe56bb3","2021-10-20 08:06:26"]
["84cd4f8d8207252d9d570c07b301abd1","2021-10-20 10:45:42"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-20 12:22:37"]
["b948207dd19f80848dcd0d1404fe4d46","2021-10-20 12:27:24"]
["b948207dd19f80848dcd0d1404fe4d46","2021-10-20 12:27:24"]
["7d97a098f16ea15a2a09badc2bce7efc","2021-10-20 15:04:56"]
["7d97a098f16ea15a2a09badc2bce7efc","2021-10-20 15:05:02"]
["7d97a098f16ea15a2a09badc2bce7efc","2021-10-20 15:05:06"]
["7d97a098f16ea15a2a09badc2bce7efc","2021-10-20 15:05:10"]
["7d97a098f16ea15a2a09badc2bce7efc","2021-10-20 15:05:14"]
["81152ff7b80f708b5ba58dbf8aa867dd","2021-10-20 16:04:01"]
["81152ff7b80f708b5ba58dbf8aa867dd","2021-10-20 16:04:01"]
["81152ff7b80f708b5ba58dbf8aa867dd","2021-10-20 16:04:01"]
["81152ff7b80f708b5ba58dbf8aa867dd","2021-10-20 16:04:01"]
["81152ff7b80f708b5ba58dbf8aa867dd","2021-10-20 16:04:01"]
["81152ff7b80f708b5ba58dbf8aa867dd","2021-10-20 16:04:05"]
["81152ff7b80f708b5ba58dbf8aa867dd","2021-10-20 16:04:07"]
["31ddf69e5749f864aba196e537fcd8d2","2021-10-20 16:14:13"]
["caddece06d06e6cd842da0b3da9fb9ed","2021-10-20 18:16:04"]
["af370a32682413828aecaebbabec6fbf","2021-10-20 18:16:07"]
["aba4443abdb9757e82be869c9e18ea4c","2021-10-20 19:49:19"]
["aba4443abdb9757e82be869c9e18ea4c","2021-10-20 19:49:20"]
["c8bfe89d803274aa2ca6b4bf6ed25aab","2021-10-20 19:49:21"]
["e0f7bebf8aabbf14d6efabc5d62224bc","2021-10-20 20:11:19"]
["b3e705b046444a0d84bb00e6474341d6","2021-10-20 20:11:29"]
["af4f4496882d6eedd6aafe1c938107d7","2021-10-20 20:11:55"]
["af4f4496882d6eedd6aafe1c938107d7","2021-10-20 20:11:57"]
["2ac8c9138266b0e27d8953376f50aec8","2021-10-20 20:13:17"]
["e0a81d2113b3435480c92ee141dd9234","2021-10-20 21:46:20"]
["94008eb9babe4e1ccaa0074fbac6f1f6","2021-10-20 22:37:33"]
["20657b31f41200b3b1f2292e96885269","2021-10-20 23:18:06"]
