["0c3087a04299295fcd7330bf28363bed","2021-11-01 01:11:59"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-11-01 02:45:12"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-11-01 03:04:46"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:32"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:33"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:33"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:34"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:36"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:37"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:38"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:38"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:40"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:40"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:46"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:47"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:48"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:49"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:49"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:50"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:51"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:51"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:07:59"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:00"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:01"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:03"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:05"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:07"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:09"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:18"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:20"]
["4666afacbe393ff122ea519e99b70eb6","2021-11-01 04:08:21"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:22"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:23"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:24"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:26"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:28"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:33"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:40"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:45"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:46"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:49"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:53"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:56"]
["9a2f8bd3b1c83321467834a1fed987ea","2021-11-01 04:08:56"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:46:33"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:46:38"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:46:43"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:46:48"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:46:52"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:46:58"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:00"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:05"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:09"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:14"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:20"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:25"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:30"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:35"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:38"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:43"]
["71349a87e18df566e3be339b6671577c","2021-11-01 05:47:46"]
["9a59448485f42affcdef229b1ee1ece4","2021-11-01 06:26:16"]
["9a59448485f42affcdef229b1ee1ece4","2021-11-01 06:26:48"]
