["4b22b4eef0cb0df4fc5923fb8bf21ccf","2021-11-07 00:04:06"]
["a8089a8512bf45f77e6082013e9018c1","2021-11-07 03:58:52"]
["b859d04ec2661c2f6cb747292ed2d6cb","2021-11-07 05:25:16"]
["fb43211d41b70bb73d429bab6fb99f23","2021-11-07 07:45:52"]
["d9fa861632976eadb95baaf40dc45e05","2021-11-07 09:52:03"]
["d26d38dc222f5c3c98eaf900dc06e621","2021-11-07 13:45:13"]
["0757f90efd7d2fc50dddaa7e3dbb5273","2021-11-07 16:31:04"]
["31ddf69e5749f864aba196e537fcd8d2","2021-11-07 16:59:48"]
["fb43211d41b70bb73d429bab6fb99f23","2021-11-07 17:59:03"]
["12905a0151526400782e91dd6e5bdf95","2021-11-07 18:08:52"]
["319704d10b0ad9e5d9466ad77ece348f","2021-11-07 18:40:12"]
["017a36a3b7df3d6d0102ae9e902b5cd7","2021-11-07 18:40:38"]
["017a36a3b7df3d6d0102ae9e902b5cd7","2021-11-07 18:40:45"]
["970cc3a2a4b0c0026d7ca699b886ce81","2021-11-07 20:25:47"]
["9a8f586545e2bc97986aa2b24e99f9ca","2021-11-07 20:38:11"]
["1e1b902945bead369b2779aac70fc6bb","2021-11-07 20:39:29"]
["04bbd4b11c186d5c3526c3bfe50bda1c","2021-11-07 20:42:49"]
["04bbd4b11c186d5c3526c3bfe50bda1c","2021-11-07 20:42:50"]
["a92521ea46b05127d0ffa548c1868c13","2021-11-07 20:43:26"]
["365e13e3fcef13e95845ef7006612865","2021-11-07 20:43:45"]
["220b712e86235df4c1784e109d90ff82","2021-11-07 20:44:14"]
["5132fe3018b2c5a2454f3e2ee08eb0f3","2021-11-07 20:44:20"]
["9e9d4bb0318164876cf452ce72a3017b","2021-11-07 20:44:43"]
["4b843957d3fd24efcc36de5b0e778c3c","2021-11-07 20:46:51"]
["4b843957d3fd24efcc36de5b0e778c3c","2021-11-07 20:47:01"]
["b1278f5ef2e2c5502db796d2d671ad07","2021-11-07 20:47:24"]
["4b169ef0159a37f1c340fb5ece96e74f","2021-11-07 20:51:20"]
["b3f866d118aec44ea0ab19fc5b1057e1","2021-11-07 20:51:24"]
["02fb632a64f86fbcb15b8afe5c92437c","2021-11-07 20:51:24"]
["5132fe3018b2c5a2454f3e2ee08eb0f3","2021-11-07 20:51:24"]
["1e1b902945bead369b2779aac70fc6bb","2021-11-07 20:51:28"]
["5132fe3018b2c5a2454f3e2ee08eb0f3","2021-11-07 20:51:29"]
["04bbd4b11c186d5c3526c3bfe50bda1c","2021-11-07 20:51:29"]
["9e9d4bb0318164876cf452ce72a3017b","2021-11-07 20:51:32"]
["1e1b902945bead369b2779aac70fc6bb","2021-11-07 20:51:59"]
["b3f866d118aec44ea0ab19fc5b1057e1","2021-11-07 20:52:04"]
["1e1b902945bead369b2779aac70fc6bb","2021-11-07 20:52:06"]
["9beec4ce4f686ffc207b90cdcd60105d","2021-11-07 20:52:07"]
["4b843957d3fd24efcc36de5b0e778c3c","2021-11-07 20:52:08"]
["9e9d4bb0318164876cf452ce72a3017b","2021-11-07 20:52:10"]
["02fb632a64f86fbcb15b8afe5c92437c","2021-11-07 20:52:11"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-07 22:58:01"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-07 23:49:09"]
