["2d95504da138f6f2a80bc7870f21e9dc","2021-11-15 00:00:25"]
["47f76e22ffba623f17eb2c8c904d5175","2021-11-15 01:03:03"]
["9336584b585f15bf6a2f03b9637d56d1","2021-11-15 01:54:17"]
["f249bdd464231efb7ceab9e99e0a9c69","2021-11-15 04:28:16"]
["64ee6cc3892c3f0e3d905e877284ee31","2021-11-15 06:44:15"]
["5dc4c310dfd6a747e070ae33e63dfa79","2021-11-15 09:47:02"]
["7f0515bcad0745612f812b6944a0edc9","2021-11-15 10:16:21"]
["78c4543802a4b7b1fb15750c32157582","2021-11-15 11:02:06"]
["66f2612031d1837f5c36c0063e57d9db","2021-11-15 11:56:35"]
["2999fb1aa916546e25ac9a0736a2af67","2021-11-15 12:22:29"]
["f6ee31608dc1f4c7745fd2896a4209a6","2021-11-15 12:37:46"]
["37ff9e6062f26ccb161cc7a72daaa40a","2021-11-15 12:54:38"]
["02ab55bcdb5f98bd6b0e45cac95cd98d","2021-11-15 13:14:57"]
["8186ca8ad3edf5f205a228d5b8206805","2021-11-15 14:00:17"]
["d30b1ec3d61d03a447e0a9b195b7a599","2021-11-15 14:17:18"]
["b4e2d9aa03e756eb668c8dd6e6911965","2021-11-15 14:17:48"]
["b4e2d9aa03e756eb668c8dd6e6911965","2021-11-15 14:17:53"]
["b4e2d9aa03e756eb668c8dd6e6911965","2021-11-15 14:18:03"]
["b4e2d9aa03e756eb668c8dd6e6911965","2021-11-15 14:18:10"]
["b4e2d9aa03e756eb668c8dd6e6911965","2021-11-15 14:18:15"]
["b4e2d9aa03e756eb668c8dd6e6911965","2021-11-15 14:18:21"]
["64ee6cc3892c3f0e3d905e877284ee31","2021-11-15 16:18:40"]
["2ac0dee9e6137c90173d65f9aa7a1cf1","2021-11-15 18:09:46"]
["d1a793f4e77112f63bc531d14a88584c","2021-11-15 18:09:51"]
["026c1bb2ec4c816599a2469a3403b4dc","2021-11-15 18:10:28"]
["026c1bb2ec4c816599a2469a3403b4dc","2021-11-15 18:10:34"]
["8f264aa9068f9c38c966e5b0c0b8358d","2021-11-15 18:12:11"]
["8f264aa9068f9c38c966e5b0c0b8358d","2021-11-15 18:12:15"]
["6508207e9f95e68aa4ee101ccb4eb973","2021-11-15 19:16:39"]
["e7cdfdd7ce9c37532ce6ba9042b88218","2021-11-15 19:33:35"]
["e7cdfdd7ce9c37532ce6ba9042b88218","2021-11-15 19:33:40"]
["db75bf8e13386b1741180a322d2373f7","2021-11-15 20:34:00"]
["db75bf8e13386b1741180a322d2373f7","2021-11-15 20:34:01"]
["8186ca8ad3edf5f205a228d5b8206805","2021-11-15 22:49:21"]
["ef48bf7d9a3270292964ab757c7ee5f0","2021-11-15 22:57:26"]
