["d30b1ec3d61d03a447e0a9b195b7a599","2021-11-16 00:00:58"]
["e3480dff69d2533099dfd1db33456368","2021-11-16 04:05:06"]
["c8f390ef4421b9d4b17d1046d8ad536a","2021-11-16 05:22:14"]
["5dbac65cc0ff87a2ab5526f6d2d2ee97","2021-11-16 06:46:48"]
["d92d7270e7110c25e09059a8eee6fe6c","2021-11-16 06:46:48"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:50"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:51"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:51"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:52"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:53"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:54"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:55"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:55"]
["6078a1862620a85545e7fc3ad904e43e","2021-11-16 06:46:56"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-16 09:18:50"]
["c4c5fdb1e9b408fdccbd7b813214efa1","2021-11-16 09:49:30"]
["66f2612031d1837f5c36c0063e57d9db","2021-11-16 10:56:59"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-11-16 11:57:52"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-16 12:26:11"]
["f6ee31608dc1f4c7745fd2896a4209a6","2021-11-16 12:54:18"]
["66f2612031d1837f5c36c0063e57d9db","2021-11-16 12:57:19"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-16 13:33:12"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-16 13:33:20"]
["8186ca8ad3edf5f205a228d5b8206805","2021-11-16 13:39:18"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-16 14:29:50"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-16 14:29:58"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-16 15:30:21"]
["51f711df688554d9a0c9ccd8ffba12ad","2021-11-16 19:18:41"]
["24af153c28f55eddfae0e73090c9f135","2021-11-16 19:21:37"]
["be4e984786307072b166af0ad5d73ab2","2021-11-16 19:25:49"]
["830b6698211c277215e6bcbdc222eb2a","2021-11-16 19:26:51"]
["e205496097b9f4a2dc1864f32ec84feb","2021-11-16 19:47:05"]
["e205496097b9f4a2dc1864f32ec84feb","2021-11-16 19:47:06"]
["a485de441972c75e35d4cad7777f6c1c","2021-11-16 21:37:36"]
["de62e8d7da1594e82e3be4da71441e2b","2021-11-16 22:11:39"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-16 22:24:46"]
["d35683f8d56ba4014a48190e9d4386e7","2021-11-16 23:05:13"]
["9336584b585f15bf6a2f03b9637d56d1","2021-11-16 23:48:50"]
