["e6d36766c4fc49d601ef5d890161f314","2021-11-18 03:46:15"]
["4db084e153db7e04fcacd6b1d7888fbc","2021-11-18 05:11:42"]
["e3480dff69d2533099dfd1db33456368","2021-11-18 08:20:49"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-18 09:59:59"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-18 10:00:07"]
["1cc114f1cc78f333174ba8c51b9e68a8","2021-11-18 11:20:10"]
["744c3036edc41058b712ff2554807bd0","2021-11-18 13:12:43"]
["744c3036edc41058b712ff2554807bd0","2021-11-18 13:12:48"]
["744c3036edc41058b712ff2554807bd0","2021-11-18 13:13:09"]
["744c3036edc41058b712ff2554807bd0","2021-11-18 13:13:23"]
["744c3036edc41058b712ff2554807bd0","2021-11-18 13:13:30"]
["744c3036edc41058b712ff2554807bd0","2021-11-18 13:13:36"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-18 13:24:10"]
["4140b1d0ece25735e3d81a5935f01c4a","2021-11-18 13:24:17"]
["66f2612031d1837f5c36c0063e57d9db","2021-11-18 14:42:42"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-11-18 15:04:53"]
["253b35c6e6df83ecf67dd0fb1e250229","2021-11-18 18:27:37"]
["638338e67a71708842afd4fef1682b04","2021-11-18 18:34:06"]
["638338e67a71708842afd4fef1682b04","2021-11-18 18:34:10"]
["676f98024e3f7467bdb55e99086d2590","2021-11-18 18:42:49"]
["0ae5f7af39ba328c1c2e636465ea015a","2021-11-18 19:18:56"]
["31ddf69e5749f864aba196e537fcd8d2","2021-11-18 19:23:28"]
["8703056977f4fc61a628991db602bb36","2021-11-18 20:22:56"]
["8703056977f4fc61a628991db602bb36","2021-11-18 20:22:59"]
["8703056977f4fc61a628991db602bb36","2021-11-18 20:23:04"]
["8703056977f4fc61a628991db602bb36","2021-11-18 20:23:05"]
["8703056977f4fc61a628991db602bb36","2021-11-18 20:23:06"]
["8703056977f4fc61a628991db602bb36","2021-11-18 20:23:11"]
["db3b0e57dae369365d50ceaa82045593","2021-11-18 22:03:08"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-11-18 23:47:53"]
