["29f7a3845d107b8dfdf611d56d941867","2021-11-19 00:49:11"]
["ef48bf7d9a3270292964ab757c7ee5f0","2021-11-19 01:38:14"]
["37688b7dddbe3be7356776567d9f8db2","2021-11-19 01:57:31"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:51"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:51"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:51"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:52"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:52"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:53"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:53"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:54"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:54"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:55"]
["80f7130052848209a4a776b82ce77ff1","2021-11-19 01:59:55"]
["66f2612031d1837f5c36c0063e57d9db","2021-11-19 02:38:27"]
["973dba35262f590fbd657134b57c1554","2021-11-19 03:36:36"]
["973dba35262f590fbd657134b57c1554","2021-11-19 03:36:36"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-11-19 05:24:37"]
["ef48bf7d9a3270292964ab757c7ee5f0","2021-11-19 06:39:30"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-19 07:05:36"]
["53be71346463728a10545c2b388d1faf","2021-11-19 07:20:43"]
["127c21ae56fd118a2bb42cc488d1cec9","2021-11-19 09:28:00"]
["d63c09903a6980fd8d5a7677f434141b","2021-11-19 09:41:01"]
["d63c09903a6980fd8d5a7677f434141b","2021-11-19 09:41:43"]
["01d46fc4eccaf5d88de41754132d8eb0","2021-11-19 09:49:16"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 13:19:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 13:19:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 13:19:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 13:19:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 13:19:46"]
["5501c61e10992375b048acd5f29f537d","2021-11-19 14:22:39"]
["676f98024e3f7467bdb55e99086d2590","2021-11-19 15:07:37"]
["0a5f67555830aa138261cf399f37f3db","2021-11-19 15:18:13"]
["c57c5c80fcc2addc862be01bdd4a1f4b","2021-11-19 18:12:21"]
["4bedff7af2d8b3c0717465a2f0efc377","2021-11-19 18:15:15"]
["15efd59e5b6b2f52181af3d5d15d05ec","2021-11-19 18:15:22"]
["3a6ae503ad3ba58289ec5882cf0c7c05","2021-11-19 18:16:05"]
["3a6ae503ad3ba58289ec5882cf0c7c05","2021-11-19 18:16:11"]
["2e0ec7c86c7fe8f4af0beb0beec0c733","2021-11-19 18:17:30"]
["2e0ec7c86c7fe8f4af0beb0beec0c733","2021-11-19 18:17:33"]
["791fd14e931eb6f7bc6c70d7b008579b","2021-11-19 19:08:32"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 19:09:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 19:09:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 19:09:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 19:09:46"]
["4b835c82ec286a446dcde51be6f405ae","2021-11-19 19:09:46"]
["676f98024e3f7467bdb55e99086d2590","2021-11-19 20:11:07"]
["e6d36766c4fc49d601ef5d890161f314","2021-11-19 21:40:44"]
["7fff10a0360e21c57919de2e7f4f15f7","2021-11-19 22:31:09"]
["037ff551b9b3df43d50c2bf8ebeb1b51","2021-11-19 22:31:12"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:13"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:14"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:15"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:16"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:17"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:18"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:18"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:19"]
["c20aaa6a9533ccd5ada29faf0c846161","2021-11-19 22:31:20"]
["90ca5a1225fc351288e92c2ccff250f1","2021-11-19 22:49:32"]
