["d4c949e4093e0ff974ecefae4bbaa57d","2021-12-13 00:26:59"]
["e871fcff142dd4d0a4b0f97251f17657","2021-12-13 01:10:22"]
["e810f9f42af654834c81ec12c9c3885a","2021-12-13 01:54:25"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-12-13 04:11:55"]
["2541e480ce26cf093cc1defe11812ac7","2021-12-13 04:41:34"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-12-13 04:46:16"]
["f9f8f0c1fd2ddf8c7343aeda16ddab79","2021-12-13 04:56:01"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-12-13 05:15:57"]
["dc6e746d0dd899494be67d1e37c02864","2021-12-13 05:36:05"]
["bfa518620396b3df13808d3dacb2ee34","2021-12-13 06:37:11"]
["d30b1ec3d61d03a447e0a9b195b7a599","2021-12-13 08:11:39"]
["e6d36766c4fc49d601ef5d890161f314","2021-12-13 08:26:01"]
["bf7ebf23d9833e93883dd9935be5c7fd","2021-12-13 09:31:45"]
["bae1cc02a59a00db996e9aeb286f1a94","2021-12-13 09:35:37"]
["11d053e7061c40b636cb2782fd94aaf2","2021-12-13 13:17:58"]
["ef48bf7d9a3270292964ab757c7ee5f0","2021-12-13 13:38:36"]
["3bde5e0072d875a3a5fa04b55d4cce33","2021-12-13 14:26:27"]
["66f2612031d1837f5c36c0063e57d9db","2021-12-13 14:37:57"]
["aed19bc4d6473e04c6dac2ed503e7707","2021-12-13 15:57:17"]
["5f5b9a721f0c4b3f25609ae1b6353615","2021-12-13 18:13:46"]
["5a0e3a092ca6cbea3e3b4d375d9341f3","2021-12-13 19:16:13"]
["4137f981f781c443e1484764d2638c9b","2021-12-13 19:18:44"]
["1cc114f1cc78f333174ba8c51b9e68a8","2021-12-13 21:05:09"]
["c0c0c86e51752de8c3a6b51568def3c5","2021-12-13 23:40:50"]
