["7691c705b48e7ed6d73170e2db590b9e","2021-12-14 00:20:26"]
["86f2bf3e4a124ca45474e9739975a226","2021-12-14 00:20:55"]
["ab24a2c2f8bde07db925bc51b8049af4","2021-12-14 02:17:09"]
["6e851157aa79249bb941e12786a5c729","2021-12-14 05:14:01"]
["2d95504da138f6f2a80bc7870f21e9dc","2021-12-14 06:02:27"]
["d5a48dcbca516f6aef08c03e8ea18e24","2021-12-14 06:28:54"]
["4d7b0c56b8c5da42671fa981dd23adba","2021-12-14 07:22:36"]
["e6d36766c4fc49d601ef5d890161f314","2021-12-14 08:15:52"]
["215c63bcdebd58098a0d41eb10c7e12c","2021-12-14 10:35:56"]
["215c63bcdebd58098a0d41eb10c7e12c","2021-12-14 11:11:56"]
["2b7316f3ee2830ef0efe191dff70e154","2021-12-14 11:47:43"]
["9336584b585f15bf6a2f03b9637d56d1","2021-12-14 11:52:47"]
["2541e480ce26cf093cc1defe11812ac7","2021-12-14 12:05:34"]
["d30b1ec3d61d03a447e0a9b195b7a599","2021-12-14 13:22:56"]
["2b7316f3ee2830ef0efe191dff70e154","2021-12-14 15:32:20"]
["f831025ed788a9785179c224364ff000","2021-12-14 19:06:28"]
["66f2612031d1837f5c36c0063e57d9db","2021-12-14 23:07:20"]
["c0c0c86e51752de8c3a6b51568def3c5","2021-12-14 23:35:10"]
