["5f5b9a721f0c4b3f25609ae1b6353615","2022-01-08 00:00:31"]
["973dba35262f590fbd657134b57c1554","2022-01-08 03:13:09"]
["62b532401d77df2a3576fdd41455bfc9","2022-01-08 03:27:37"]
["b948207dd19f80848dcd0d1404fe4d46","2022-01-08 03:53:03"]
["4021f33c6488f1e0651a91847c662e97","2022-01-08 04:05:05"]
["9336584b585f15bf6a2f03b9637d56d1","2022-01-08 04:23:41"]
["f29905949b57f6c0dc212e6403565bb6","2022-01-08 04:44:27"]
["d30b1ec3d61d03a447e0a9b195b7a599","2022-01-08 05:04:47"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:14:59"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:14:59"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:14:59"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:00"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:00"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:00"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:01"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:01"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:01"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:02"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:06"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:06"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:06"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:08"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:08"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:08"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:09"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:09"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:10"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:11"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:15"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:15"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:15"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:18"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:18"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:20"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:20"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:20"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:20"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:21"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:21"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:21"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:21"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:24"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:24"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:24"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:25"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:25"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:25"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:25"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:27"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:27"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:28"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:28"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:28"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:28"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:29"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:29"]
["aac3086101edf31aa15913a63a398834","2022-01-08 05:15:29"]
["1959e481017b3d5a3a24d1ceb2297b71","2022-01-08 05:36:11"]
["9336584b585f15bf6a2f03b9637d56d1","2022-01-08 06:24:49"]
["ef48bf7d9a3270292964ab757c7ee5f0","2022-01-08 06:35:07"]
["66f2612031d1837f5c36c0063e57d9db","2022-01-08 07:11:00"]
["9336584b585f15bf6a2f03b9637d56d1","2022-01-08 07:49:24"]
["66f2612031d1837f5c36c0063e57d9db","2022-01-08 08:00:56"]
["00a7ac7cc99c90dee792a2861f5d8fa4","2022-01-08 09:43:53"]
["99542defbea4338ff952e3c9b831135d","2022-01-08 09:51:15"]
["99542defbea4338ff952e3c9b831135d","2022-01-08 10:36:15"]
["980b6e8934121fa6c974fa3c6bbc30ef","2022-01-08 11:44:16"]
["a4f4533a651c0da20931a78d88988fc6","2022-01-08 12:29:15"]
["f57577804e4ff232cc24929abca834bc","2022-01-08 13:05:54"]
["4fcff15172dd5f54a85161de227bd4c1","2022-01-08 15:10:02"]
["4fcff15172dd5f54a85161de227bd4c1","2022-01-08 15:10:11"]
["724d57db6612584864dcb220aacc0009","2022-01-08 15:59:55"]
["a8aacfcdfaa1840adc1f23d2e7ee1cd8","2022-01-08 18:24:49"]
["2541e480ce26cf093cc1defe11812ac7","2022-01-08 19:16:13"]
["15a125a12fdd622ab315edaea40e3b3a","2022-01-08 19:59:27"]
["a4f4533a651c0da20931a78d88988fc6","2022-01-08 20:14:47"]
["a4f4533a651c0da20931a78d88988fc6","2022-01-08 20:37:17"]
["66f2612031d1837f5c36c0063e57d9db","2022-01-08 23:27:48"]
