["ef48bf7d9a3270292964ab757c7ee5f0","2022-01-11 00:13:32"]
["e6d36766c4fc49d601ef5d890161f314","2022-01-11 01:29:25"]
["f0e733db0f1c2a8196a44e985cac2e1f","2022-01-11 02:54:54"]
["973dba35262f590fbd657134b57c1554","2022-01-11 05:17:17"]
["973dba35262f590fbd657134b57c1554","2022-01-11 05:17:17"]
["215c63bcdebd58098a0d41eb10c7e12c","2022-01-11 05:54:54"]
["a8aacfcdfaa1840adc1f23d2e7ee1cd8","2022-01-11 06:15:53"]
["65d4f27ca6eb7f9776d2a92d256d6c23","2022-01-11 06:22:24"]
["6ba83ba609566101782a9e61e1a3012a","2022-01-11 06:22:34"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:22:44"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:22:54"]
["7f498e65f0d17b7dd023011fe8387938","2022-01-11 06:23:00"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:23:07"]
["5a7c0dfe6be47106e99f5737a36b4d5a","2022-01-11 06:23:08"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:23:18"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:23:19"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:23:28"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:23:29"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:23:38"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:23:39"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:23:48"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:23:52"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:23:58"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:24:01"]
["6f2144ade32ae2ed6f3e235f9dbfb910","2022-01-11 06:24:07"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:24:10"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:24:19"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:24:28"]
["ef4db5959cb67221f5e8535d0725b88b","2022-01-11 06:24:37"]
["7cb8d99796bfdc922983d890286f58fe","2022-01-11 06:34:40"]
["e6d36766c4fc49d601ef5d890161f314","2022-01-11 08:33:20"]
["9336584b585f15bf6a2f03b9637d56d1","2022-01-11 08:59:23"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 09:36:49"]
["2541e480ce26cf093cc1defe11812ac7","2022-01-11 09:42:30"]
["e6d36766c4fc49d601ef5d890161f314","2022-01-11 09:46:13"]
["bfa518620396b3df13808d3dacb2ee34","2022-01-11 10:55:59"]
["a4f4533a651c0da20931a78d88988fc6","2022-01-11 11:07:14"]
["980b6e8934121fa6c974fa3c6bbc30ef","2022-01-11 11:29:44"]
["99542defbea4338ff952e3c9b831135d","2022-01-11 11:52:14"]
["e810f9f42af654834c81ec12c9c3885a","2022-01-11 12:41:25"]
["5f5b9a721f0c4b3f25609ae1b6353615","2022-01-11 12:59:45"]
["bae1cc02a59a00db996e9aeb286f1a94","2022-01-11 13:03:49"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 13:29:07"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 13:29:10"]
["c89da36187b6389d3a092307fed689e2","2022-01-11 13:29:14"]
["7aeaf959e9ecc21577da9b8f2ba3e3ff","2022-01-11 13:33:31"]
["4ae3b1c98b49701f114766a726feccb5","2022-01-11 13:48:07"]
["a16569673c5f23e2fdeef3184c3ca3b7","2022-01-11 13:48:15"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:17"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:24"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:30"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:34"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:38"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:42"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:43"]
["1bee54b11903017feaf378cbc8f61dd7","2022-01-11 13:48:45"]
