["d11b6fb8ff6233ef630572cbea3141aa","2022-01-13 00:24:43"]
["050b37e13b38adaa509df431bc188137","2022-01-13 03:09:37"]
["e6d36766c4fc49d601ef5d890161f314","2022-01-13 05:12:16"]
["2541e480ce26cf093cc1defe11812ac7","2022-01-13 06:38:26"]
["980b6e8934121fa6c974fa3c6bbc30ef","2022-01-13 07:15:46"]
["980b6e8934121fa6c974fa3c6bbc30ef","2022-01-13 09:30:46"]
["2d95504da138f6f2a80bc7870f21e9dc","2022-01-13 11:19:40"]
["66f2612031d1837f5c36c0063e57d9db","2022-01-13 11:25:30"]
["01d46fc4eccaf5d88de41754132d8eb0","2022-01-13 12:30:46"]
["050b37e13b38adaa509df431bc188137","2022-01-13 12:40:53"]
["ef48bf7d9a3270292964ab757c7ee5f0","2022-01-13 12:45:27"]
["e6d36766c4fc49d601ef5d890161f314","2022-01-13 13:26:32"]
["ef48bf7d9a3270292964ab757c7ee5f0","2022-01-13 13:38:50"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:54"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:55"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:55"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:55"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:55"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:56"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:57"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:57"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:57"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:57"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:57"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:58"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:58"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:58"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:58"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:58"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:59"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:59"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:59"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:59"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:41:59"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:42:00"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:42:00"]
["caf2a8cc1d073a3c4332d0c2202c4c47","2022-01-13 13:42:00"]
["ef48bf7d9a3270292964ab757c7ee5f0","2022-01-13 14:38:38"]
["b630fdaa8e1c454b0fbba08e6ac6e01d","2022-01-13 15:07:20"]
["b630fdaa8e1c454b0fbba08e6ac6e01d","2022-01-13 15:07:23"]
["e5f5e3b68012f1dd5a2bc9bbb60698d3","2022-01-13 15:49:24"]
["ef48bf7d9a3270292964ab757c7ee5f0","2022-01-13 17:49:15"]
["b93b878ff030be78fe00747910f8029d","2022-01-13 18:24:35"]
["b93b878ff030be78fe00747910f8029d","2022-01-13 18:24:43"]
["70c949527fba59f5d8c9cbee97c48b89","2022-01-13 19:07:51"]
["e6d36766c4fc49d601ef5d890161f314","2022-01-13 19:27:32"]
["bae1cc02a59a00db996e9aeb286f1a94","2022-01-13 21:12:02"]
