["4178f710e898c0644f1f3f693db07695","2022-04-12 00:03:17"]
["75a5da46524e95a3c4ac5880248d66b4","2022-04-12 01:11:46"]
["5bfdbab76353a7eb2125719e5217a9ea","2022-04-12 01:34:52"]
["0e43fb9dde06b4f946a3d25c013ea4df","2022-04-12 01:44:06"]
["58c4711e8cf3df2ced88e58ef75bd84c","2022-04-12 02:23:46"]
["9851a507d6e055336ec463a01eeacc0d","2022-04-12 05:03:08"]
["9851a507d6e055336ec463a01eeacc0d","2022-04-12 06:53:20"]
["9d2d4ecdae650fcb627745f3c652da21","2022-04-12 07:30:25"]
["2541e480ce26cf093cc1defe11812ac7","2022-04-12 07:48:59"]
["2ca6200ff0b64967e370d1216a835208","2022-04-12 10:20:51"]
["2195282fdb943fe5bc39dfb0237d408e","2022-04-12 11:25:21"]
["caddece06d06e6cd842da0b3da9fb9ed","2022-04-12 13:09:05"]
["2ca6200ff0b64967e370d1216a835208","2022-04-12 14:02:11"]
["1ec151997898c32fd9612efa28844881","2022-04-12 14:42:04"]
["9851a507d6e055336ec463a01eeacc0d","2022-04-12 14:49:56"]
["ce44b7e7da3316c5ccdff24deebd1caf","2022-04-12 15:10:21"]
["d9aa8c28daeb3bb6478b840713c92b09","2022-04-12 15:43:46"]
["554eb3665a9e4a90ab71f255d9e54b53","2022-04-12 15:49:00"]
["2541e480ce26cf093cc1defe11812ac7","2022-04-12 16:41:43"]
["575bbeb5007f11bb468ca934d5aec7b2","2022-04-12 18:11:42"]
["2541e480ce26cf093cc1defe11812ac7","2022-04-12 19:30:18"]
["caddece06d06e6cd842da0b3da9fb9ed","2022-04-12 20:53:36"]
["cd8824464e1a715541825ee3e255a86d","2022-04-12 20:55:38"]
["394213e4fbc6ce3b643c61a4c94b2c00","2022-04-12 21:52:07"]
