["2195282fdb943fe5bc39dfb0237d408e","2022-05-18 00:00:08"]
["406c8d4571f4bb8fe7e1aab4b9b6bd2b","2022-05-18 01:32:07"]
["e49074535b4729ecb19e4ce999dedabe","2022-05-18 03:43:10"]
["916d1747295f1032fc24a009c7f8c29a","2022-05-18 03:49:14"]
["916d1747295f1032fc24a009c7f8c29a","2022-05-18 07:45:05"]
["4b6b5d3b33e8c216a9682f0d9b1c7853","2022-05-18 08:24:39"]
["2ca6200ff0b64967e370d1216a835208","2022-05-18 08:58:25"]
["58c4711e8cf3df2ced88e58ef75bd84c","2022-05-18 09:06:33"]
["58c4711e8cf3df2ced88e58ef75bd84c","2022-05-18 09:58:30"]
["916d1747295f1032fc24a009c7f8c29a","2022-05-18 12:56:32"]
["48aba0aabe034a6fc32791b72928fc88","2022-05-18 14:45:01"]
["caddece06d06e6cd842da0b3da9fb9ed","2022-05-18 15:50:07"]
["2541e480ce26cf093cc1defe11812ac7","2022-05-18 15:55:26"]
["916d1747295f1032fc24a009c7f8c29a","2022-05-18 17:07:02"]
["b761bbffd18b81d135d3ce0d2cadfafd","2022-05-18 17:41:34"]
["2541e480ce26cf093cc1defe11812ac7","2022-05-18 19:54:49"]
["c1a5f1c00ed97b4354d3a3b829d53858","2022-05-18 20:30:38"]
["ee5d35c8662199e67b9e2674bc3e350e","2022-05-18 20:30:38"]
["cf455fb5f2d46c10320cb3e927f27a66","2022-05-18 20:30:38"]
["66e57cf697d6301aff2a704468b7adce","2022-05-18 21:48:40"]
["9317087229b1882b728f103c7ae8250c","2022-05-18 22:40:58"]
