["f719ec8e1994e25b9fe9e4ac22bb4f34","2022-06-17 00:03:39"]
["90dc9eff45e1c241fc67fc37d2d764cb","2022-06-17 00:41:16"]
["90dc9eff45e1c241fc67fc37d2d764cb","2022-06-17 00:41:18"]
["90dc9eff45e1c241fc67fc37d2d764cb","2022-06-17 00:41:19"]
["90dc9eff45e1c241fc67fc37d2d764cb","2022-06-17 00:41:21"]
["90dc9eff45e1c241fc67fc37d2d764cb","2022-06-17 00:41:22"]
["90dc9eff45e1c241fc67fc37d2d764cb","2022-06-17 00:41:24"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-06-17 01:38:53"]
["2195282fdb943fe5bc39dfb0237d408e","2022-06-17 01:59:32"]
["2541e480ce26cf093cc1defe11812ac7","2022-06-17 03:10:18"]
["2195282fdb943fe5bc39dfb0237d408e","2022-06-17 03:13:39"]
["fbea755203758fc566f0361e354a0c31","2022-06-17 04:57:17"]
["650dc574b5b80926fd0ddc7a5703fc02","2022-06-17 05:22:25"]
["b22bd9ab320fbe7b802b2f75e82fc3b7","2022-06-17 05:41:14"]
["92b871bb84b225365ae28d9b243976aa","2022-06-17 05:55:06"]
["a7c778321a2485fa7e6506347074ee4e","2022-06-17 06:28:20"]
["eb78ecc3edbce5793cc09677fbe696ab","2022-06-17 08:19:58"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-06-17 08:40:11"]
["2541e480ce26cf093cc1defe11812ac7","2022-06-17 12:58:24"]
["d18eb55bfb44da76ef0605fff765a3e0","2022-06-17 14:17:18"]
["d18eb55bfb44da76ef0605fff765a3e0","2022-06-17 14:17:18"]
["d4eaf2c0532f2a023b5b094e1f07e173","2022-06-17 14:17:20"]
["67e3b3e08adc3a348c5ff06b4fa68d12","2022-06-17 14:53:28"]
["67e3b3e08adc3a348c5ff06b4fa68d12","2022-06-17 14:53:28"]
["48aba0aabe034a6fc32791b72928fc88","2022-06-17 14:58:46"]
["7a8915e5d5562e33db9bbd2478d47a47","2022-06-17 15:05:00"]
["2195282fdb943fe5bc39dfb0237d408e","2022-06-17 16:05:47"]
["58c4711e8cf3df2ced88e58ef75bd84c","2022-06-17 16:17:34"]
["a19d7da8e7879f54dd20a8684dbac44e","2022-06-17 17:52:09"]
["650dc574b5b80926fd0ddc7a5703fc02","2022-06-17 17:59:47"]
["50724fec397c3ba975c97acd3a41b2a1","2022-06-17 19:28:56"]
["dd163c11be7b0de880ffc00e8f636838","2022-06-17 21:19:30"]
