["7a355a9c65f5caf58126784620742829","2022-09-11 00:00:37"]
["48aba0aabe034a6fc32791b72928fc88","2022-09-11 01:17:49"]
["b5368efc07925f012547d50430661e2c","2022-09-11 06:41:29"]
["a8f582d7bd8dec64d44b28df27c0e570","2022-09-11 07:23:31"]
["7bd4b982833f46b4bc8749937f079e2d","2022-09-11 07:23:38"]
["aabda2bef6bfb3452dcd13c6e84e0bca","2022-09-11 08:24:55"]
["7bd4b982833f46b4bc8749937f079e2d","2022-09-11 08:43:48"]
["9d2d4ecdae650fcb627745f3c652da21","2022-09-11 09:52:24"]
["a8f582d7bd8dec64d44b28df27c0e570","2022-09-11 10:15:55"]
["6a3f0fa369aed172db7aa14a35ce43af","2022-09-11 12:06:58"]
["dfffc8d9bc227e892a106fd75ea97cff","2022-09-11 13:47:36"]
["c68fee7c5050c62544797efce2e1bb64","2022-09-11 15:12:39"]
["aabda2bef6bfb3452dcd13c6e84e0bca","2022-09-11 18:18:11"]
["d5de82cec4fcd69600c5a1eaf61a3e3f","2022-09-11 18:53:14"]
["09651c387ade3a83a1ef82a3b4a87a05","2022-09-11 20:57:28"]
["55c9f260e029b61799b459f90b6f144c","2022-09-11 23:13:55"]
["55c9f260e029b61799b459f90b6f144c","2022-09-11 23:13:56"]
["9d2d4ecdae650fcb627745f3c652da21","2022-09-11 23:17:07"]
["554eb3665a9e4a90ab71f255d9e54b53","2022-09-11 23:33:24"]
