["fd9bf9039ee4e5a0ec0f1364085b2ce2","2022-09-27 00:09:02"]
["2fc41059c51b56085248d6efaf90cd88","2022-09-27 00:20:42"]
["caddece06d06e6cd842da0b3da9fb9ed","2022-09-27 01:11:35"]
["01d46fc4eccaf5d88de41754132d8eb0","2022-09-27 02:18:47"]
["29f7a3845d107b8dfdf611d56d941867","2022-09-27 02:27:13"]
["e1ce47da69b184fc370f531ee2765c6d","2022-09-27 02:59:29"]
["8f589f1876ebe53dd8697c1f6bdd4896","2022-09-27 05:03:56"]
["15eb77ab1a31ce74769e2b7d1935eeaf","2022-09-27 07:10:13"]
["e8546fe2ddb6194704fac8bffc25f5cb","2022-09-27 07:50:00"]
["02070c6eb58256157fd3ebef96a5d847","2022-09-27 10:10:23"]
["02070c6eb58256157fd3ebef96a5d847","2022-09-27 10:10:24"]
["02070c6eb58256157fd3ebef96a5d847","2022-09-27 10:10:24"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-09-27 10:25:57"]
["01d46fc4eccaf5d88de41754132d8eb0","2022-09-27 10:26:38"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:09"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:09"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:09"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:10"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:10"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:10"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:10"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:10"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:10"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:10"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:11"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:11"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:11"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:11"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:11"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:11"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:11"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:12"]
["dc3eb63bd694682b9ba8f35c891337c1","2022-09-27 12:25:12"]
["c89da36187b6389d3a092307fed689e2","2022-09-27 13:24:53"]
["c89da36187b6389d3a092307fed689e2","2022-09-27 13:25:00"]
["c89da36187b6389d3a092307fed689e2","2022-09-27 13:25:11"]
["c89da36187b6389d3a092307fed689e2","2022-09-27 13:25:15"]
["c89da36187b6389d3a092307fed689e2","2022-09-27 13:25:19"]
["c89da36187b6389d3a092307fed689e2","2022-09-27 13:25:22"]
["0a05be9481ecf1289f0cd15dee7db4e6","2022-09-27 14:52:19"]
["0a05be9481ecf1289f0cd15dee7db4e6","2022-09-27 14:52:21"]
["8130b56294726644b1ab9393a9dcc3a0","2022-09-27 15:53:07"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-09-27 16:12:20"]
["2195282fdb943fe5bc39dfb0237d408e","2022-09-27 18:32:52"]
["800dec35f90fc1decfae7c96ab634eea","2022-09-27 21:15:05"]
["13e9837101811e0cd45496bf3c7b1395","2022-09-27 21:21:51"]
