["a75228771db10c310fe47c63eb5bff83","2022-09-28 00:32:29"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-09-28 01:14:03"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-09-28 01:14:05"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-09-28 01:14:07"]
["aa5ba12b16a1fd94df367187e3785a99","2022-09-28 01:25:22"]
["98bf299efc93d52ecb02453f03303012","2022-09-28 02:25:17"]
["98bf299efc93d52ecb02453f03303012","2022-09-28 02:25:17"]
["98bf299efc93d52ecb02453f03303012","2022-09-28 02:25:17"]
["98bf299efc93d52ecb02453f03303012","2022-09-28 02:25:17"]
["98bf299efc93d52ecb02453f03303012","2022-09-28 02:25:17"]
["98bf299efc93d52ecb02453f03303012","2022-09-28 02:25:20"]
["98bf299efc93d52ecb02453f03303012","2022-09-28 02:25:22"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-09-28 05:04:15"]
["15eb77ab1a31ce74769e2b7d1935eeaf","2022-09-28 05:56:46"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-09-28 06:00:51"]
["48aba0aabe034a6fc32791b72928fc88","2022-09-28 06:18:31"]
["1d9ea9a2dc45b7972a77b170d0048d35","2022-09-28 06:50:39"]
["0a8e27f4505fe2ef8f255ccd8aaf2baf","2022-09-28 11:07:21"]
["48aba0aabe034a6fc32791b72928fc88","2022-09-28 12:04:55"]
["6f31ce4e5d04edbc11f2b80cf9c27467","2022-09-28 12:04:59"]
["6f31ce4e5d04edbc11f2b80cf9c27467","2022-09-28 12:05:00"]
["6f31ce4e5d04edbc11f2b80cf9c27467","2022-09-28 12:05:02"]
["6f31ce4e5d04edbc11f2b80cf9c27467","2022-09-28 12:05:04"]
["6f31ce4e5d04edbc11f2b80cf9c27467","2022-09-28 12:05:05"]
["6f31ce4e5d04edbc11f2b80cf9c27467","2022-09-28 12:05:07"]
["abf7b780f22cfa735b8d0bdde69c1be5","2022-09-28 12:06:14"]
["abf7b780f22cfa735b8d0bdde69c1be5","2022-09-28 12:06:15"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-09-28 12:39:16"]
["2c5ace3fdaf4f042c495470bfa2ea02a","2022-09-28 14:16:11"]
["9d2d4ecdae650fcb627745f3c652da21","2022-09-28 15:35:12"]
["2195282fdb943fe5bc39dfb0237d408e","2022-09-28 16:07:46"]
["732d1ec824a14368bccefeeed8657368","2022-09-28 17:53:50"]
["15eb77ab1a31ce74769e2b7d1935eeaf","2022-09-28 17:55:35"]
["c89da36187b6389d3a092307fed689e2","2022-09-28 20:04:23"]
["c89da36187b6389d3a092307fed689e2","2022-09-28 20:04:34"]
["c89da36187b6389d3a092307fed689e2","2022-09-28 20:04:44"]
["c89da36187b6389d3a092307fed689e2","2022-09-28 20:04:53"]
["c89da36187b6389d3a092307fed689e2","2022-09-28 20:05:00"]
["c89da36187b6389d3a092307fed689e2","2022-09-28 20:05:09"]
["8186ca8ad3edf5f205a228d5b8206805","2022-09-28 20:08:57"]
["8a5302aa9d6418c2a0f459ecbb307493","2022-09-28 20:12:15"]
["a951189034470f01af1e07f4d86dc4a1","2022-09-28 20:44:14"]
["8186ca8ad3edf5f205a228d5b8206805","2022-09-28 20:53:56"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-09-28 21:30:06"]
["2517b5846409c83fb521084b0fa09618","2022-09-28 21:47:30"]
["2517b5846409c83fb521084b0fa09618","2022-09-28 21:48:19"]
["c475962326dee35311e2cd21eec9c7ec","2022-09-28 22:01:34"]
["c475962326dee35311e2cd21eec9c7ec","2022-09-28 22:01:35"]
["8186ca8ad3edf5f205a228d5b8206805","2022-09-28 22:23:57"]
