["a19d7da8e7879f54dd20a8684dbac44e","2022-10-02 00:25:38"]
["11fcf59f43510d039a088f1277ae254a","2022-10-02 00:51:36"]
["48aba0aabe034a6fc32791b72928fc88","2022-10-02 00:55:06"]
["48aba0aabe034a6fc32791b72928fc88","2022-10-02 02:11:52"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-10-02 03:14:39"]
["48aba0aabe034a6fc32791b72928fc88","2022-10-02 04:40:22"]
["94008eb9babe4e1ccaa0074fbac6f1f6","2022-10-02 04:45:27"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-10-02 06:47:21"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-10-02 06:47:23"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-10-02 06:47:26"]
["48aba0aabe034a6fc32791b72928fc88","2022-10-02 07:20:49"]
["48aba0aabe034a6fc32791b72928fc88","2022-10-02 09:44:54"]
["c89da36187b6389d3a092307fed689e2","2022-10-02 10:45:22"]
["c89da36187b6389d3a092307fed689e2","2022-10-02 10:45:24"]
["c89da36187b6389d3a092307fed689e2","2022-10-02 10:45:30"]
["c89da36187b6389d3a092307fed689e2","2022-10-02 10:45:35"]
["c89da36187b6389d3a092307fed689e2","2022-10-02 10:45:38"]
["c89da36187b6389d3a092307fed689e2","2022-10-02 10:45:41"]
["11fcf59f43510d039a088f1277ae254a","2022-10-02 10:45:42"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-10-02 10:52:33"]
["835c4f572a8d0e8f95d5902fa21ab724","2022-10-02 13:58:32"]
["21a1a7c9325646a0106ec1aa25f0527f","2022-10-02 13:58:33"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:34"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:35"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:36"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:37"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:38"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:38"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:39"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:41"]
["e3644ef14de013fd978d6242aadb9f65","2022-10-02 13:58:42"]
["732d1ec824a14368bccefeeed8657368","2022-10-02 14:15:09"]
["732d1ec824a14368bccefeeed8657368","2022-10-02 14:32:32"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:22"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:28"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:30"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:31"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:31"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:32"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:34"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:34"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:36"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:36"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:36"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:40"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:41"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:41"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:43"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:45"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:45"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:47"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:49"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:49"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:53"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:55"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:55"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:56:58"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:57:01"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:57:07"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:57:12"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:57:13"]
["7c5b6b9403de3b4fd3bfb8aa96ed4f15","2022-10-02 14:57:29"]
["aabda2bef6bfb3452dcd13c6e84e0bca","2022-10-02 16:43:50"]
["aee343223ca4435d4fc64909549eb077","2022-10-02 17:00:50"]
["6a0a0016b8e2f68718a2885c9a6d9cb2","2022-10-02 17:55:15"]
["caddece06d06e6cd842da0b3da9fb9ed","2022-10-02 18:21:44"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-10-02 21:05:54"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-10-02 21:29:49"]
["11fcf59f43510d039a088f1277ae254a","2022-10-02 23:35:18"]
