["bd20d3a5c7f89e3070d7ddaa16e0a900","2022-11-14 02:04:48"]
["df6f38cb0961e05bce7306f68dba7ad6","2022-11-14 04:13:15"]
["5a316c780feccf50ee148a2407574a17","2022-11-14 05:37:23"]
["48aba0aabe034a6fc32791b72928fc88","2022-11-14 06:03:39"]
["0846987ea18b28a81b3eb9b8184933bf","2022-11-14 07:07:07"]
["48aba0aabe034a6fc32791b72928fc88","2022-11-14 07:18:50"]
["ac780c627e7e7ad7d0d4bb725ad14271","2022-11-14 11:14:44"]
["38b0ee03b4a2ef99a37cae974e9d8428","2022-11-14 11:14:44"]
["c1a5f1c00ed97b4354d3a3b829d53858","2022-11-14 11:14:44"]
["42b0d054a3d110b41e4fc6e9764e7b39","2022-11-14 11:59:04"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-11-14 16:03:57"]
["7c9f53aaa0e0df686aec2f789c0f95b7","2022-11-14 16:53:20"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-11-14 17:08:59"]
["3481cc45a8bcdc47d21b045104a8b7e6","2022-11-14 19:31:17"]
["96e9d64c694e227dfc1c998e00380007","2022-11-14 20:18:02"]
["42b0d054a3d110b41e4fc6e9764e7b39","2022-11-14 21:28:30"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:43"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:43"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:43"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:43"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:43"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:44"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:44"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:44"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:44"]
["5046d309660f543c7dc302f72a854bea","2022-11-14 23:30:44"]
["39c6411c6d024c6d096a9c056525d62f","2022-11-14 23:31:07"]
["9b0eb98202ec3369b3a30c409ed5b57f","2022-11-14 23:32:15"]
["9b0eb98202ec3369b3a30c409ed5b57f","2022-11-14 23:32:15"]
["a8ce717f1b1107980b011c2d2591f3a1","2022-11-14 23:33:44"]
["a8ce717f1b1107980b011c2d2591f3a1","2022-11-14 23:33:44"]
