["dca4dbbfc57cd4cc68cd11b729322526","2022-11-20 00:49:27"]
["f6db5b7bac7ad3ad8944519b7a463204","2022-11-20 00:58:29"]
["b3f4b20e420cafc623b4ff05606fe87c","2022-11-20 01:49:50"]
["554eb3665a9e4a90ab71f255d9e54b53","2022-11-20 03:34:03"]
["05e05158e4687e97b1d17736788bbb47","2022-11-20 04:03:27"]
["451e848a67b5f5632d88340212fb85e0","2022-11-20 04:47:22"]
["48aba0aabe034a6fc32791b72928fc88","2022-11-20 05:59:19"]
["e2eed493eaa3851e6dd8762628b114fc","2022-11-20 06:32:04"]
["42b0d054a3d110b41e4fc6e9764e7b39","2022-11-20 08:53:17"]
["22b12e14c8662a5a754abecee3bb3f5d","2022-11-20 10:31:27"]
["371fcd4f20acf65cce173f6fa2d83ab1","2022-11-20 11:25:58"]
["28ad93dcd61874955fbc1f5543888a5f","2022-11-20 12:00:03"]
["554eb3665a9e4a90ab71f255d9e54b53","2022-11-20 12:19:06"]
["f6ee31608dc1f4c7745fd2896a4209a6","2022-11-20 14:09:48"]
["42b0d054a3d110b41e4fc6e9764e7b39","2022-11-20 14:43:12"]
["8186ca8ad3edf5f205a228d5b8206805","2022-11-20 15:39:48"]
["f6ee31608dc1f4c7745fd2896a4209a6","2022-11-20 16:24:48"]
["e4914ebfbbdbbd29f9b5ed7922d6137d","2022-11-20 19:16:54"]
["66f762cf5748a45f53f7b440de04c917","2022-11-20 19:47:02"]
["66f762cf5748a45f53f7b440de04c917","2022-11-20 19:47:07"]
["caddece06d06e6cd842da0b3da9fb9ed","2022-11-20 20:29:49"]
["5885c641ff93f246dcde696d15141ac8","2022-11-20 21:18:52"]
["9d78f5a06ad31231787230fdf61bb316","2022-11-20 21:18:52"]
["484f6e06a273581613c4a9e8a2df2e4e","2022-11-20 22:11:12"]
["48aba0aabe034a6fc32791b72928fc88","2022-11-20 22:20:54"]
["caddece06d06e6cd842da0b3da9fb9ed","2022-11-20 23:27:12"]
