["8d5aa1d1d3f6627e6648a0ac42e0ffea","2022-12-02 00:28:43"]
["6765cef83e7c6929d1d4f19732d5b42f","2022-12-02 00:31:25"]
["2758eebb2bece41911ec0e1648643247","2022-12-02 03:34:37"]
["2758eebb2bece41911ec0e1648643247","2022-12-02 03:34:37"]
["719dbc94de5ce66a55925623e2bd47f7","2022-12-02 03:56:48"]
["af0f6708d399f9d89ada8e96856ac862","2022-12-02 04:09:19"]
["486d629fcf1273529470098d6a6fe53f","2022-12-02 04:47:05"]
["0c75d0b33924105efeb2bdd645c8928c","2022-12-02 04:54:50"]
["0fa284586ca69c075e839e6636a0247a","2022-12-02 07:21:02"]
["8186ca8ad3edf5f205a228d5b8206805","2022-12-02 08:47:46"]
["55424aa59b09af59f69e12e7ff9ad94f","2022-12-02 09:41:07"]
["d4d315983476c509262769f704850e71","2022-12-02 10:57:59"]
["d4d315983476c509262769f704850e71","2022-12-02 10:57:59"]
["d4d315983476c509262769f704850e71","2022-12-02 10:57:59"]
["d4d315983476c509262769f704850e71","2022-12-02 10:58:00"]
["d4d315983476c509262769f704850e71","2022-12-02 10:58:01"]
["d4d315983476c509262769f704850e71","2022-12-02 10:58:01"]
["d4d315983476c509262769f704850e71","2022-12-02 10:58:01"]
["d4d315983476c509262769f704850e71","2022-12-02 10:58:02"]
["d4d315983476c509262769f704850e71","2022-12-02 10:58:02"]
["d4d315983476c509262769f704850e71","2022-12-02 10:58:03"]
["7ec9ef2cc2dde79b2baed2db905b4565","2022-12-02 11:56:44"]
["ce6feffc35c01ff22856e15038875da5","2022-12-02 14:07:08"]
["01ce9a56b2df43d1e7a5bafcd5875a0e","2022-12-02 16:22:55"]
["5a010ece0d755d0d75bf3c2a0af633cd","2022-12-02 16:33:33"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:10:53"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:10:57"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:11:05"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:11:08"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:11:15"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:11:18"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:11:22"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:11:24"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:12:35"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:12:43"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:12:54"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:13:00"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:13:16"]
["c89da36187b6389d3a092307fed689e2","2022-12-02 18:13:27"]
["66ea671723e45ba70370fa34edbb84c8","2022-12-02 18:33:03"]
["5865102626a414b8429d54f7dfcba4b7","2022-12-02 18:33:04"]
["6b693912c4c3b988a29b147ba4342bb2","2022-12-02 18:33:19"]
["6b693912c4c3b988a29b147ba4342bb2","2022-12-02 18:33:23"]
["c050436a5387b8a1dae74c04a744fbc6","2022-12-02 18:33:30"]
["c050436a5387b8a1dae74c04a744fbc6","2022-12-02 18:33:32"]
["f4821dfb1f5c07de1dba8518593d17c5","2022-12-02 18:34:14"]
["66ea671723e45ba70370fa34edbb84c8","2022-12-02 18:34:17"]
["5040c08ea0d3b39e1286715e70b46098","2022-12-02 18:34:48"]
["5040c08ea0d3b39e1286715e70b46098","2022-12-02 18:34:50"]
["677098d12418cc2a0b9f10c9b5e850f7","2022-12-02 18:35:01"]
["960e79a080bd5f587bf13f25b83ddb5b","2022-12-02 20:41:14"]
["06e1f83bc73157993b1e9393ef9ab94f","2022-12-02 21:07:55"]
["8ee6183ae812f2c23f2c8e43a28341e3","2022-12-02 23:06:41"]
