["8db2f05614357ff9bdd62caf78a960d3","2022-12-05 00:09:17"]
["af0f6708d399f9d89ada8e96856ac862","2022-12-05 02:30:20"]
["8aa4aaa381684cfa8d7666f4f7efdf87","2022-12-05 04:04:01"]
["a12616b6da25ec8ad04457d68c89fb06","2022-12-05 05:21:57"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:05"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:07"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:09"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:11"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:12"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:14"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:16"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:17"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:19"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:21"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:22"]
["818c3a3ce7cf148dbb53fa7ea52ba07d","2022-12-05 05:48:24"]
["b3011428a7e5140a195ec9e435a193e6","2022-12-05 06:54:38"]
["eaab469293b23e4d67fb04dea1089efd","2022-12-05 09:12:07"]
["ebbe393c20704dc4c8431714a8611b6a","2022-12-05 10:06:56"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["479adb8a3f169013c47f8fe2a578a5be","2022-12-05 10:21:30"]
["8186ca8ad3edf5f205a228d5b8206805","2022-12-05 15:01:59"]
["816a6778e81e6a37484bdaa462887f40","2022-12-05 15:31:41"]
["af0f6708d399f9d89ada8e96856ac862","2022-12-05 17:01:32"]
["54e93a8fa03ffc6e60923cec2777dd6b","2022-12-05 17:32:13"]
["af0f6708d399f9d89ada8e96856ac862","2022-12-05 18:52:13"]
["cf37a96e90b701234bd8fd0ea0685c5f","2022-12-05 19:34:32"]
["3dfb329881f48289ad44fd2556b6b78d","2022-12-05 19:47:24"]
["3dfb329881f48289ad44fd2556b6b78d","2022-12-05 19:47:24"]
["3dfb329881f48289ad44fd2556b6b78d","2022-12-05 19:47:27"]
["3dfb329881f48289ad44fd2556b6b78d","2022-12-05 19:47:27"]
["0396ef7b902f07f3718954a4a83388e9","2022-12-05 19:57:56"]
["8cec984c80dbb915db253ee174766d3d","2022-12-05 20:05:50"]
["f5986ce3cef8b97f045f04ae7f80fed3","2022-12-05 21:42:39"]
["43818b21fbcd2271bcf83441f19ef34b","2022-12-05 21:48:25"]
["43818b21fbcd2271bcf83441f19ef34b","2022-12-05 21:49:14"]
["173e52cf3efe7dc7ff76ce702bf4a12e","2022-12-05 22:27:19"]
["62ef9ac77e3d7b8264fd1c762fe56bb3","2022-12-05 22:42:43"]
["6b0852046b2527357ad1a197049d44bf","2022-12-05 22:50:01"]
["8789769d8a3fb7775fbde51d03b38d4c","2022-12-05 23:03:03"]
["85c953dfa6058440c7066067e39bc990","2022-12-05 23:03:31"]
["c89da36187b6389d3a092307fed689e2","2022-12-05 23:10:46"]
["c89da36187b6389d3a092307fed689e2","2022-12-05 23:10:50"]
["c89da36187b6389d3a092307fed689e2","2022-12-05 23:11:00"]
["c89da36187b6389d3a092307fed689e2","2022-12-05 23:11:04"]
["c89da36187b6389d3a092307fed689e2","2022-12-05 23:11:12"]
["c89da36187b6389d3a092307fed689e2","2022-12-05 23:11:16"]
