["7d6fba9399bc7a92abc5f52e8ef0340a","2022-12-09 00:04:24"]
["5a46d1bf763005e22f07339cc3707c03","2022-12-09 01:30:50"]
["0649ddf0256a3fa48213a514bac83ff1","2022-12-09 02:16:16"]
["fba2bcc63aefbe7c528ec5dc2d1601c0","2022-12-09 03:46:47"]
["b16e22bbe605569ce954c558c8e4c729","2022-12-09 03:53:40"]
["225a0985357bef1fac90a7165c2fc2d3","2022-12-09 04:45:50"]
["de26bd53751e96dd73b891da10d92347","2022-12-09 05:55:13"]
["1219a79a252a1a20932a505bdaf8c3f4","2022-12-09 05:55:13"]
["1697f89f33daf29567119a6a8c64ee8f","2022-12-09 05:55:13"]
["1697f89f33daf29567119a6a8c64ee8f","2022-12-09 05:55:13"]
["ccaa4b510d4758b698943579cd00ef76","2022-12-09 05:55:13"]
["4ae093eb114eaa9a192bf874b1935d19","2022-12-09 05:55:13"]
["9ad0ec8ed3ccf965881e6e8bf04c269b","2022-12-09 05:55:13"]
["ccaa4b510d4758b698943579cd00ef76","2022-12-09 05:55:14"]
["17e2dc03d2026344a8df01c68255c412","2022-12-09 05:55:14"]
["a2c61fb92ba83fe5427769bfc1de3e9d","2022-12-09 06:35:35"]
["51aa107949e9cfbcf5b0c7ac5d48b599","2022-12-09 06:40:51"]
["51aa107949e9cfbcf5b0c7ac5d48b599","2022-12-09 06:40:51"]
["51aa107949e9cfbcf5b0c7ac5d48b599","2022-12-09 06:40:51"]
["51aa107949e9cfbcf5b0c7ac5d48b599","2022-12-09 06:40:51"]
["51aa107949e9cfbcf5b0c7ac5d48b599","2022-12-09 06:40:51"]
["51aa107949e9cfbcf5b0c7ac5d48b599","2022-12-09 06:40:52"]
["12b321ffe33055443dd86508166cd7f4","2022-12-09 06:55:54"]
["af0f6708d399f9d89ada8e96856ac862","2022-12-09 07:05:21"]
["ab8015b8e47cec260dd231d52a8187f9","2022-12-09 07:25:30"]
["8aa4aaa381684cfa8d7666f4f7efdf87","2022-12-09 09:25:17"]
["8aa4aaa381684cfa8d7666f4f7efdf87","2022-12-09 09:25:19"]
["390b3132bd2c2ca04e08d4d2f0801b83","2022-12-09 10:36:32"]
["c075bf8ee9074f836475e5a7f0e61660","2022-12-09 10:36:33"]
["1223e8b1caf82bd35d7365bc14378d9e","2022-12-09 10:36:33"]
["92b90cee3cc4304071af3a4bc9bf791f","2022-12-09 11:03:49"]
["b9f1b2af92c87a74896e66fbd3c6d857","2022-12-09 11:03:51"]
["fba2bcc63aefbe7c528ec5dc2d1601c0","2022-12-09 12:05:31"]
["0a48e3ca1d0c4dcd09c47af163b8a791","2022-12-09 14:49:28"]
["e6584e6214124cc65b14440b03d519e9","2022-12-09 15:57:17"]
["ab5ed9fa3229b26db28f07d6ffdede5a","2022-12-09 18:31:06"]
["40dd0ed9d9cbc3cbf1816417e34063dd","2022-12-09 18:31:32"]
["40dd0ed9d9cbc3cbf1816417e34063dd","2022-12-09 18:31:33"]
["bed7a85c4de12f57a4911e870706478d","2022-12-09 18:39:56"]
["bed7a85c4de12f57a4911e870706478d","2022-12-09 18:39:57"]
["23e5abbf753412dbbc9249b6040267fc","2022-12-09 18:40:50"]
["d622ae79a85adb6055b9776063bfb65d","2022-12-09 18:43:05"]
["d622ae79a85adb6055b9776063bfb65d","2022-12-09 18:43:10"]
["e85eb803a2b5a0fd6f8c9b3ee23d6593","2022-12-09 19:03:16"]
["acd910517a7836dc5cdfab9154b21db3","2022-12-09 19:04:47"]
["ab070cca425a3628625b1352ebec0aaf","2022-12-09 19:16:45"]
["ab070cca425a3628625b1352ebec0aaf","2022-12-09 19:16:49"]
["af0f6708d399f9d89ada8e96856ac862","2022-12-09 20:40:39"]
