["a21b2b7b8f1b1a7778a659b1ea795f40","2022-12-12 00:03:37"]
["8ed1c48a69fb61c828bac9906a5d8339","2022-12-12 01:25:55"]
["f977293b58bcd8e06cf52ad1e7ad217f","2022-12-12 02:30:46"]
["7d6fba9399bc7a92abc5f52e8ef0340a","2022-12-12 03:17:14"]
["0b35b1c73466aa3ab7f7b0e7e35e424e","2022-12-12 03:22:12"]
["b630fdaa8e1c454b0fbba08e6ac6e01d","2022-12-12 04:11:51"]
["7d6fba9399bc7a92abc5f52e8ef0340a","2022-12-12 04:15:39"]
["5ef2a3a5738c70b486419298bec5199e","2022-12-12 07:25:58"]
["f360bf7fdaac1f35c6d1df415d46f7a6","2022-12-12 08:10:32"]
["99a6d0125af4ac93901bdbc50047fb11","2022-12-12 08:36:19"]
["61ae56d2735c0ccdfeee9fb5decd962d","2022-12-12 10:47:46"]
["afe7866596cb8b5ccfd0cbe593c0c96d","2022-12-12 11:07:56"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-12-12 12:36:01"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-12-12 12:36:03"]
["486a6b8e86d0e67035f0900e10ce4d45","2022-12-12 12:36:05"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:11"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:14"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:14"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:15"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:16"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:17"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:18"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:19"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:20"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:21"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:22"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:23"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:24"]
["5a3077b07412f3b236681d0c60cd7b8d","2022-12-12 12:55:24"]
["604e05e08f6f13b00c5db7407186c238","2022-12-12 12:55:47"]
["45f770411efda1fdfc7ce1fbf52808cb","2022-12-12 13:44:21"]
["48dd41b1659a93f6bc2bfb1db138a4d9","2022-12-12 13:58:16"]
["bd3b88c937b24a7617e61b0cd4b70701","2022-12-12 14:35:41"]
["bd3b88c937b24a7617e61b0cd4b70701","2022-12-12 14:35:43"]
["b672158c1ff93c9945bfbd4272039ba9","2022-12-12 17:18:12"]
["32a78f7c652931ded365351dc66855c5","2022-12-12 18:31:55"]
["32a78f7c652931ded365351dc66855c5","2022-12-12 18:31:56"]
["7aeab9b0330e20f73d015c70b41864e6","2022-12-12 18:45:18"]
["7aeab9b0330e20f73d015c70b41864e6","2022-12-12 18:45:22"]
["89180aa9659c26e6664d90bfb682e9e4","2022-12-12 19:45:42"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:53"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:53"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:54"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:54"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:55"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:55"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:56"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:56"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:57"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:57"]
["6a9b2067050057335b35b2bda0907b85","2022-12-12 20:27:58"]
["2d824ee0e49d889af0111fe77dac431c","2022-12-12 21:15:10"]
["7c67a5a12bd4b2db7ac8dd8c391d01ab","2022-12-12 21:28:10"]
