["1ee75511be26f41cd830187992bc8e53","2022-12-14 01:09:31"]
["529fbe99301c5d6c97edc569e18eb405","2022-12-14 02:07:10"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:25"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:27"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:30"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:33"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:34"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:36"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:39"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:42"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:44"]
["41f97b2047cf8447c66e569d3d66cf0b","2022-12-14 04:32:47"]
["bfc0dec5d8ab83c3b92d50db5d5709fc","2022-12-14 05:46:45"]
["052c54f0c81c7bf0a49d7c68500ccbb4","2022-12-14 06:05:49"]
["7af8db4273b6cd42aff8c61fe0eef562","2022-12-14 09:14:32"]
["ffcdff35ee93dd7b4ff6d0fbf42b9065","2022-12-14 09:15:37"]
["ffcdff35ee93dd7b4ff6d0fbf42b9065","2022-12-14 09:15:40"]
["ffcdff35ee93dd7b4ff6d0fbf42b9065","2022-12-14 09:15:43"]
["ffcdff35ee93dd7b4ff6d0fbf42b9065","2022-12-14 09:15:46"]
["ffcdff35ee93dd7b4ff6d0fbf42b9065","2022-12-14 09:15:48"]
["ffcdff35ee93dd7b4ff6d0fbf42b9065","2022-12-14 09:15:52"]
["bfc0dec5d8ab83c3b92d50db5d5709fc","2022-12-14 14:00:02"]
["3c39f3022f8a412fe16e9c6d8e2d6bb7","2022-12-14 15:03:13"]
["7d6fba9399bc7a92abc5f52e8ef0340a","2022-12-14 15:45:33"]
["7d6fba9399bc7a92abc5f52e8ef0340a","2022-12-14 15:59:52"]
["340e89200de26b7f1ba3e396a6f53ab5","2022-12-14 18:16:35"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:06"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:06"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:07"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:07"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:08"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:08"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:09"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:09"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:09"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:10"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:10"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:11"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:11"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:12"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:13"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:13"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:13"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:14"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:14"]
["5ad5adddf224bdbe18584dff192c0a0b","2022-12-14 18:34:15"]
["c89da36187b6389d3a092307fed689e2","2022-12-14 19:10:39"]
["c89da36187b6389d3a092307fed689e2","2022-12-14 19:10:45"]
["c89da36187b6389d3a092307fed689e2","2022-12-14 19:10:53"]
["c89da36187b6389d3a092307fed689e2","2022-12-14 19:10:59"]
["c89da36187b6389d3a092307fed689e2","2022-12-14 19:11:05"]
["c89da36187b6389d3a092307fed689e2","2022-12-14 19:11:10"]
["b54134eb1435e67f0d02d058a07c7486","2022-12-14 19:12:25"]
["cd3c9d865b808685a387518903629f5d","2022-12-14 19:57:03"]
["4c2583ae12cdae544c17d2d0a39b5f18","2022-12-14 20:07:47"]
["7af8db4273b6cd42aff8c61fe0eef562","2022-12-14 22:13:14"]
