["b6865797f753278b537f8a64caf92fa2","2023-01-12 00:08:53"]
["29f7a3845d107b8dfdf611d56d941867","2023-01-12 00:55:56"]
["d90ff65923acbd7efe3b332084344e4d","2023-01-12 03:50:47"]
["97db3780dfbcd45584e5fa72ca99ab68","2023-01-12 04:06:09"]
["d7b80e0b8d909685c46577db35ea0d32","2023-01-12 05:34:52"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:37"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:37"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:37"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:38"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:38"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:38"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:38"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:39"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:39"]
["d225d4db63f607941a8acfa0db2e25ad","2023-01-12 05:37:39"]
["30a20d5004ef0592deccd7021b9d1c31","2023-01-12 07:26:37"]
["30a20d5004ef0592deccd7021b9d1c31","2023-01-12 07:26:39"]
["f57c986a5ce19478c728034aac8b6e57","2023-01-12 09:59:26"]
["a941ea8d738a63138605a02cddb2dc99","2023-01-12 12:01:06"]
["e5efe1dc07e2095fc0948a88296e0723","2023-01-12 12:16:34"]
["f7e1ee2166cb2f976ebdadd5ce4d2b22","2023-01-12 12:29:19"]
["df5b3a2513ba1666d74f44801ecfac98","2023-01-12 14:07:44"]
["4f31bc61b450b685a549d6cb5bf94019","2023-01-12 18:51:23"]
["54f00cb8cbaade32ce39a23fd949fb7a","2023-01-12 18:51:52"]
["54f00cb8cbaade32ce39a23fd949fb7a","2023-01-12 18:51:58"]
["5dd342f5b3adf758461fcfc1e1e5c203","2023-01-12 18:55:06"]
["b165cb255a42ab20c7e4f1af43e61c29","2023-01-12 18:55:39"]
["b165cb255a42ab20c7e4f1af43e61c29","2023-01-12 18:55:42"]
["c89da36187b6389d3a092307fed689e2","2023-01-12 18:58:17"]
["c89da36187b6389d3a092307fed689e2","2023-01-12 18:58:47"]
["c89da36187b6389d3a092307fed689e2","2023-01-12 18:59:17"]
["c89da36187b6389d3a092307fed689e2","2023-01-12 18:59:47"]
["c89da36187b6389d3a092307fed689e2","2023-01-12 19:00:18"]
["c89da36187b6389d3a092307fed689e2","2023-01-12 19:00:48"]
["0ef26d263336cd218a219ef1f3e16901","2023-01-12 19:24:43"]
["1ca9a0b19257d6b57f54ca67b2d4938f","2023-01-12 21:13:46"]
["8b475aab9566b488b06faef7f259fd47","2023-01-12 22:25:52"]
["c2a626fe0b7e4a974e23d32c8b51411c","2023-01-12 22:30:25"]
["884f69d0a1c706cc29265c8d374da317","2023-01-12 22:39:48"]
["988d025d014e21bec33e3a817c079e06","2023-01-12 23:26:23"]
["988d025d014e21bec33e3a817c079e06","2023-01-12 23:26:27"]
["988d025d014e21bec33e3a817c079e06","2023-01-12 23:26:33"]
["988d025d014e21bec33e3a817c079e06","2023-01-12 23:26:39"]
["988d025d014e21bec33e3a817c079e06","2023-01-12 23:26:44"]
["988d025d014e21bec33e3a817c079e06","2023-01-12 23:26:51"]
["eb964eb0027436086026db7041da69dd","2023-01-12 23:43:05"]
