["3f5049d23c93bf1375738c15722164e4","2023-01-14 00:21:50"]
["d23e932723386535b917a9f9f891567d","2023-01-14 00:26:16"]
["b096888d37ba4874c53d9ab46940c9e8","2023-01-14 03:06:17"]
["c00a7cd1252ad5cb813ad2d0a433118a","2023-01-14 03:07:09"]
["e9d4e6f79aeeb86534dc04a8c0a10580","2023-01-14 03:12:00"]
["1a4899c545692fc36d81e021f3b5441b","2023-01-14 03:12:03"]
["7976d318440f671134a3bcae218ae390","2023-01-14 03:12:06"]
["5814886ceb1362d897aa060927f74ee0","2023-01-14 03:12:07"]
["7976d318440f671134a3bcae218ae390","2023-01-14 03:12:10"]
["b096888d37ba4874c53d9ab46940c9e8","2023-01-14 03:12:10"]
["5814886ceb1362d897aa060927f74ee0","2023-01-14 03:12:11"]
["0ca7748f859ab3d9c63965e29f7442cb","2023-01-14 03:12:12"]
["0ef26d263336cd218a219ef1f3e16901","2023-01-14 03:33:15"]
["3a2c7f0f2777f95dcca7a993930a61f7","2023-01-14 04:03:11"]
["01d46fc4eccaf5d88de41754132d8eb0","2023-01-14 06:19:20"]
["2826a0e38efc22bdc3ed1509a9ff5375","2023-01-14 10:51:39"]
["b6e4950d397a867c99048ba5ffad1a4a","2023-01-14 10:57:27"]
["35f3ed287702a8f06579ede584f5293f","2023-01-14 11:17:32"]
["6dbd92be119fbf4dcaca54420863fc72","2023-01-14 11:26:59"]
["9ffefcf0e9e0e2bebc8be8c2851d19cf","2023-01-14 11:31:49"]
["71b73948695936f8e157475419ea378d","2023-01-14 12:36:09"]
["283b4ae9df53a0f44edb5fb67b55a090","2023-01-14 13:23:03"]
["a3ea8bee8e341d8ebc8c2a389235b1e6","2023-01-14 13:40:39"]
["a3ea8bee8e341d8ebc8c2a389235b1e6","2023-01-14 13:40:39"]
["183371cab3b5614d30a71affc647cc2c","2023-01-14 16:00:51"]
["0ef26d263336cd218a219ef1f3e16901","2023-01-14 16:55:30"]
["98bd96980f521bfda60d374e475c83b6","2023-01-14 18:23:05"]
["df28d7c2b06b0696c05450fa16cc9650","2023-01-14 18:23:05"]
["66c9e44bac6a4e4b5efee0662efcc223","2023-01-14 18:23:40"]
["3880a037e56c14a61bca7c7971fc5fba","2023-01-14 18:34:02"]
["3880a037e56c14a61bca7c7971fc5fba","2023-01-14 18:34:04"]
["3ef28170a1d1386487641b45aa3be438","2023-01-14 19:05:34"]
["3f384ae8263c9bad4b948dce987d30be","2023-01-14 19:23:18"]
["b407e14ab6deaabc2054bc7675ef7f08","2023-01-14 19:25:39"]
["0dc4c4b84b72ccef744c138ff0565d4e","2023-01-14 19:34:04"]
["982e7d22b095c87a51225eab1f165f14","2023-01-14 19:41:38"]
["23df3416f1bc7d611d85ce9fcdb2b9ea","2023-01-14 21:56:51"]
["506330f7a8bec8ede150ae7d40829b9d","2023-01-14 22:14:48"]
["6bae842288c2c20b28310e9ba75b970e","2023-01-14 22:31:08"]
["77f73d782fea220869a65d34450a1ff1","2023-01-14 22:44:09"]
