["92784bfb4110edbb1653953408d873d0","2023-01-20 00:15:38"]
["a875044e7e34653591e5a1f12564eb9f","2023-01-20 03:22:14"]
["b0a7b3fd37b808860dd17e0a56ce5f24","2023-01-20 05:39:39"]
["1576de4cc3ea4fd7e560e4a654e41a86","2023-01-20 06:21:13"]
["7059608541b6f4bd72030533da851eab","2023-01-20 06:55:33"]
["9aa739c81f5b922720ab0e078539facb","2023-01-20 07:43:10"]
["8c2aaacd483926308e441fe8721686b0","2023-01-20 07:47:48"]
["a2c6464afdc7fd8d3f33f8dd82e29623","2023-01-20 12:10:07"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:15"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:15"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:15"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:15"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:16"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:16"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:16"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:16"]
["1e039f4f690e10c585dbc42ae94522c9","2023-01-20 12:28:16"]
["39c6411c6d024c6d096a9c056525d62f","2023-01-20 12:29:06"]
["35335e0e41429e3960ca1cb493ea2384","2023-01-20 15:37:02"]
["e6b4cc0884b432d877b54ff21869afc2","2023-01-20 16:02:58"]
["7059608541b6f4bd72030533da851eab","2023-01-20 16:40:19"]
["e481638cf602694668a8efb920fcc26a","2023-01-20 17:00:04"]
["48f2ce60a3fa833fa2854ab36d231608","2023-01-20 18:19:14"]
["df21dc0d4fe6b1748e78c9f1064ed89a","2023-01-20 18:19:31"]
["03b3859b0ef2080e47e6956c1e8dd432","2023-01-20 18:19:54"]
["bfbabf9289d12ff66822d3cddb0be95f","2023-01-20 18:19:56"]
["03b3859b0ef2080e47e6956c1e8dd432","2023-01-20 18:19:56"]
["bfbabf9289d12ff66822d3cddb0be95f","2023-01-20 18:20:00"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:23"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:23"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:23"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:24"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:24"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:24"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:24"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:25"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:25"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:27"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:27"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:28"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:28"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:28"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:28"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:29"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:29"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:29"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:30"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:30"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:30"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:30"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:31"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:31"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:32"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:32"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:32"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:32"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:33"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:33"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:33"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:33"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:34"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:34"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:34"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:34"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:35"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:35"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:35"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:36"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:36"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:36"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:36"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:37"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:37"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:37"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:38"]
["f3f5f352ac4934421d304a2bb66a50ac","2023-01-20 18:23:38"]
