["71faeb2624624ac3f08100ef82725f91","2023-02-12 00:33:14"]
["3a58ef7f6dbd885546cdc4f29a37ce78","2023-02-12 09:29:39"]
["4736d29e86ec6d99d582f8d556fc8dc8","2023-02-12 09:42:27"]
["97a241cfbbbd987832e959f3c8660a36","2023-02-12 12:23:23"]
["d8e7455582dffc205d62c5a739e8e05e","2023-02-12 12:53:25"]
["3d24c0aa9a2412532ac3160bffdd76fd","2023-02-12 13:09:18"]
["5fd7d9df7e24f525d41c493278076cac","2023-02-12 13:20:07"]
["b70162d431fb46beb3d53b2a80367663","2023-02-12 13:21:39"]
["651c892abba2d632b31951d67de2c4bd","2023-02-12 15:08:37"]
["651c892abba2d632b31951d67de2c4bd","2023-02-12 15:08:47"]
["90a1c49718b753b71a418555c5ce1659","2023-02-12 16:39:55"]
["71bf978bfd07abf824c0de623393c636","2023-02-12 16:40:13"]
["71bf978bfd07abf824c0de623393c636","2023-02-12 17:47:25"]
["abf7b780f22cfa735b8d0bdde69c1be5","2023-02-12 19:26:16"]
["94d0282361c4fdab1dee7813ba0599bd","2023-02-12 19:26:16"]
["abf7b780f22cfa735b8d0bdde69c1be5","2023-02-12 19:26:17"]
["94d0282361c4fdab1dee7813ba0599bd","2023-02-12 19:26:17"]
["c19b4cd290146c0d67645d32fd7bec85","2023-02-12 21:16:18"]
["4e0f691374edd68343bdcf6f95aa6183","2023-02-12 22:10:10"]
["4e0f691374edd68343bdcf6f95aa6183","2023-02-12 22:10:11"]
["4e0f691374edd68343bdcf6f95aa6183","2023-02-12 22:10:13"]
["4e0f691374edd68343bdcf6f95aa6183","2023-02-12 22:10:14"]
["4e0f691374edd68343bdcf6f95aa6183","2023-02-12 22:10:16"]
["4e0f691374edd68343bdcf6f95aa6183","2023-02-12 22:10:17"]
["5803d5a77a1cee63e21a781402872fa9","2023-02-12 22:14:45"]
["14bae48ba67c2dbc875272a549122ccc","2023-02-12 23:12:57"]
["97a241cfbbbd987832e959f3c8660a36","2023-02-12 23:14:04"]
["b98933f53e77738d86b05b4d95d59d47","2023-02-12 23:46:54"]
